source_box_id,sigma_min,sigma_max,t_min,t_max,d0_neg_re_upper_raw,mainNormLowerConst_raw,restUpperCombinedConst_raw,restUpperSeparateConst_raw,d0_neg_re_upper_rat,mainNormLowerConst_rat,restUpperCombinedConst_rat,restUpperSeparateConst_rat,sectorBudgetCombined_rat,sectorBudgetSeparate_rat,certified_nondestructive_rat,certified_sector_combined_rat,certified_sector_separate_rat
s0.84_t0,0.84,0.84,32.82,32.824,-0.00020839735021895822,0.06330329704592705,0.0046887859697952155,0.004688898630447803,-0.000208397350,0.063303297045,0.004688785970,0.004688898631,0.058614511075,0.058614398414,True,True,True
s0.84_t1,0.84,0.84,32.825,32.829,-0.0002460417550541723,0.06256913375038446,0.004678534809729337,0.004680353861739868,-0.000246041755,0.062569133750,0.004678534810,0.004680353862,0.057890598940,0.057888779888,True,True,True
s0.84_t2,0.84,0.84,32.83,32.834,-0.0002822492347685737,0.06185355729256658,0.004664722310340731,0.004670286733887265,-0.000282249234,0.061853557292,0.004664722311,0.004670286734,0.057188834981,0.057183270558,True,True,True
s0.84_t3,0.84,0.84,32.835,32.839,-0.00031691790377291225,0.06115836875087182,0.004647317855477758,0.00465864348459792,-0.000316917903,0.061158368750,0.004647317856,0.004658643485,0.056511050894,0.056499725265,True,True,True
s0.84_t4,0.84,0.84,32.84,32.844,-0.00034995739767801435,0.060486073903959985,0.004626489735155349,0.004645592337456835,-0.000349957397,0.060486073903,0.004626489736,0.004645592338,0.055859584167,0.055840481565,True,True,True
s0.84_t5,0.84,0.84,32.845,32.849000000000004,-0.0003812842067132518,0.05983903398308019,0.004602214119436664,0.004631131239436383,-0.000381284206,0.059839033983,0.004602214120,0.004631131240,0.055236819863,0.055207902743,True,True,True
s0.84_t6,0.84,0.84,32.85,32.854,-0.000410814633740929,0.05921921832237368,0.004574395877375626,0.004615206629919357,-0.000410814633,0.059219218322,0.004574395878,0.004615206630,0.054644822444,0.054604011692,True,True,True
s0.84_t7,0.84,0.84,32.855,32.859,-0.00043846764932738456,0.05862923979330283,0.004543193991299174,0.004597896308924157,-0.000438467649,0.058629239793,0.004543193992,0.004597896309,0.054086045801,0.054031343484,True,True,True
s0.84_t8,0.84,0.84,32.86,32.86,-0.0005509560652639447,0.06113582505414887,0.0030933841491259336,0.0030936951015536063,-0.000550956065,0.061135825054,0.003093384150,0.003093695102,0.058042440904,0.058042129952,True,True,True
s0.85_t0,0.85,0.85,32.82,32.824,-0.00020225591121753026,0.06392607446028403,0.004275359084488224,0.004275430241169894,-0.000202255911,0.063926074460,0.004275359085,0.004275430242,0.059650715375,0.059650644218,True,True,True
s0.85_t1,0.85,0.85,32.825,32.829,-0.0002360018651563119,0.0632654783124411,0.004265984996330942,0.004267511350766027,-0.000236001865,0.063265478312,0.004265984997,0.004267511351,0.058999493315,0.058997966961,True,True,True
s0.85_t2,0.85,0.85,32.83,32.834,-0.0002684591312601293,0.06262296217825414,0.004253354655389086,0.004258200874702013,-0.000268459131,0.062622962178,0.004253354656,0.004258200875,0.058369607522,0.058364761303,True,True,True
s0.85_t3,0.85,0.85,32.835,32.839,-0.00029953637624128963,0.06200006743390639,0.00423743840080631,0.00424744814293912,-0.000299536376,0.062000067433,0.004237438401,0.004247448143,0.057762629032,0.057752619290,True,True,True
s0.85_t4,0.85,0.85,32.84,32.844,-0.0003291532970929748,0.061398995541270554,0.004218390062705811,0.004235406835634805,-0.000329153297,0.061398995541,0.004218390063,0.004235406836,0.057180605478,0.057163588705,True,True,True
s0.85_t5,0.85,0.85,32.845,32.849000000000004,-0.00035723540950819766,0.06082181107789725,0.00419618725167749,0.004222074456205091,-0.000357235409,0.060821811077,0.004196187252,0.004222074457,0.056625623825,0.056599736620,True,True,True
s0.85_t6,0.85,0.85,32.85,32.854,-0.0003837081097750896,0.06027020328916404,0.004170739300126232,0.004207398157297057,-0.000383708109,0.060270203289,0.004170739301,0.004207398158,0.056099463988,0.056062805131,True,True,True
s0.85_t7,0.85,0.85,32.855,32.859,-0.0004084988185083658,0.059746446028585476,0.004142193581565426,0.004191452287898805,-0.000408498818,0.059746446028,0.004142193582,0.004191452288,0.055604252446,0.055554993740,True,True,True
s0.85_t8,0.85,0.85,32.86,32.86,-0.0005095131110210911,0.06211856015197954,0.002796692375908226,0.0027970521669876563,-0.000509513111,0.062118560151,0.002796692376,0.002797052167,0.059321867775,0.059321507984,True,True,True
s0.86_t0,0.86,0.86,32.82,32.824,-0.00019368049701349772,0.06450954696161419,0.0039019178114778714,0.003901958734898322,-0.000193680497,0.064509546961,0.003901917812,0.003901958735,0.060607629149,0.060607588226,True,True,True
s0.86_t1,0.86,0.86,32.825,32.829,-0.0002239228251736501,0.06391483609371226,0.0038933410490800922,0.0038946139951488426,-0.000223922825,0.063914836093,0.003893341050,0.003894613996,0.060021495043,0.060020222097,True,True,True
s0.86_t2,0.86,0.86,32.83,32.834,-0.00025301014223231357,0.06333754182799299,0.003881787525697094,0.0038859965478515775,-0.000253010142,0.063337541827,0.003881787526,0.003885996548,0.059455754301,0.059451545279,True,True,True
s0.86_t3,0.86,0.86,32.835,32.839,-0.0002808605571362293,0.06277899419180542,0.003867228626454818,0.003876058720149781,-0.000280860557,0.062778994191,0.003867228627,0.003876058721,0.058911765564,0.058902935470,True,True,True
s0.86_t4,0.86,0.86,32.84,32.844,-0.0003074027996728051,0.06224114035764901,0.0038498048505225136,0.003864940763331704,-0.000307402799,0.062241140357,0.003849804851,0.003864940764,0.058391335506,0.058376199593,True,True,True
s0.86_t5,0.86,0.86,32.845,32.849000000000004,-0.00033257048985694924,0.061725769896613,0.0038294952153306305,0.0038526398160146033,-0.000332570489,0.061725769896,0.003829495216,0.003852639817,0.057896274680,0.057873130079,True,True,True
s0.86_t6,0.86,0.86,32.85,32.854,-0.00035629705943635096,0.06123432296072362,0.003806215223623444,0.0038391058105757036,-0.000356297059,0.061234322960,0.003806215224,0.003839105811,0.057428107736,0.057395217149,True,True,True
s0.86_t7,0.86,0.86,32.855,32.859,-0.00037851742846773583,0.060768794051790975,0.0037801007013077313,0.0038244089529278105,-0.000378517428,0.060768794051,0.003780100702,0.003824408953,0.056988693349,0.056944385098,True,True,True
s0.86_t8,0.86,0.86,32.86,32.86,-0.00046937408970500736,0.06300836192606242,0.002530741836327964,0.0025311461842308165,-0.000469374089,0.063008361926,0.002530741837,0.002531146185,0.060477620089,0.060477215741,True,True,True
