profile_name,nmax,sigma,bg_kmax,x_mode,x_cut,target_t,input_center_t,refined_t,min_abs,re_c,im_c,arg_c,phase_left,phase_right,phase_delta_unwrapped,derivative_re,derivative_im,derivative_abs,second_derivative_abs,abs_curvature,complex_cross,valley_width_at_2x_min,classification
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,21.022,21.021609999999257,21.02160600000131,7.927354028023899e-05,-4.9797725599424835e-05,6.16804727096596e-05,2.25000289581635,2.245652766168746,2.2543530797328475,0.008700313564101503,-0.26801287855300593,-0.21701145001526737,0.34485485716167197,1.45853325962672,1501.6317891013935,2.7337837681219576e-05,0.0007950000008172253,transverse_near_zero
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,32.935,32.93514000000639,32.93514400000133,0.00011921099884172455,-3.9229823436973684e-05,0.0001125712361038357,1.9061242986640181,-4.373407800598138,-4.380714263545462,-0.007306462947323844,0.4114957684104926,0.14261276822226468,0.43550794376194696,2.106157352944657,1588.9117409355292,5.191726101868436e-05,0.0009479999976065301,shallow_minimum
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,37.586,37.586290000006436,37.586289000001386,9.903897573359223e-05,1.3716240793123315e-05,9.80845729606044e-05,1.4318563719650121,1.436629258626116,1.4270835904892545,-0.00954566813686153,0.4682992452383838,-0.0643624078519562,0.4727014942173776,2.3703463000939804,2253.76349833749,4.681574177110287e-05,0.000724999998169551,transverse_near_zero
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,40.919,40.9188700000063,40.91886600000126,7.907862035370083e-05,7.32457629306965e-05,-2.9807489155327274e-05,-0.38648483593968685,-0.39232761158004864,-0.38064218370540015,0.01168542787464849,0.17492408516438182,0.4276474068813473,0.46203976039182654,2.2149920977215336,2701.7821576047704,3.653740835390113e-05,0.0005919999985053437,transverse_near_zero
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,43.327,43.327230000006416,43.32723100000136,5.917917520336707e-05,5.914106350019269e-05,-2.1235314494944717e-06,-0.03589079122571148,-0.02733364340681217,-0.0444477611864706,-0.01711411777965843,-0.017545344044421367,-0.5061083921643301,0.5064124245284672,2.551965281696194,4330.8798827802775,2.9969046648841603e-05,0.00040399999897999805,transverse_near_zero
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,48.005,48.005340000006456,48.005344000001394,5.695991660260794e-06,2.1933065266447674e-06,-5.256779192046969e-06,-1.1755219744178795,-1.0939465314010304,-1.2573663866091056,-0.16341985520807523,-0.4341151132659623,-0.17092171874651568,0.46655135355626426,2.385426622024439,38132.96754048193,2.656931015641698e-06,4.099999989648495e-05,transverse_near_zero
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,49.774,49.7738500000063,49.773854000001236,8.743179876301885e-05,-7.24177662480857e-05,-4.8989657751148274e-05,-2.5468223233264062,-2.541771311704132,-2.5518732962064905,-0.010101984502358441,-0.24775177617358665,0.3655795084198998,0.4416212399485588,2.215639881426449,2228.4358351394153,3.8611726107825484e-05,0.0006849999982705413,transverse_near_zero
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,21.022,21.02258999999922,21.022590000001276,0.00014659281994935144,-9.09607483606725e-05,0.00011495911063664935,2.240175617788903,2.237824929789589,2.242526317010305,0.00470138722071578,-0.27001905829595274,-0.2140930795150987,0.344595615960638,1.4644578416735847,811.503052499914,5.051521752818264e-05,0.0014710000015121238,shallow_minimum
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,32.935,32.935280000006436,32.935280000001384,0.00015046929791019207,5.041804352719831e-05,-0.00014177104958515215,-1.2291147159351257,-1.231935383342796,-1.2262940289631308,0.0056413543796651755,0.3997304580597047,0.14266603903379374,0.42442671663576187,1.9703420810985097,1199.127218527718,6.386314915613676e-05,0.0012259999969046476,shallow_minimum
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,37.586,37.58603000000635,37.58603400000129,0.00014397182220392615,1.9532573201718548e-05,0.00014264068204000718,1.4347072313179805,1.4379532484322375,1.431461212381894,-0.0064920360503435415,0.46301411022920563,-0.06341599377205188,0.46733676779966704,2.319310510359777,1514.672523311115,6.72833260177533e-05,0.001066999997306084,shallow_minimum
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,40.919,40.91850000000618,40.91849800000114,0.00010456110403778756,-9.636021465590453e-05,4.059228386120982e-05,2.742897783004335,-3.5357579285225054,-3.5448171304288034,-0.009059201906298053,0.1839937919299688,0.4364233532330756,0.4736233299954411,2.3488724177914038,2142.9828348998444,4.952257622911048e-05,0.0007639999980710854,shallow_minimum
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,43.327,43.32727000000643,43.32727400000137,9.71470961927269e-05,-9.703419300272827e-05,4.682273698558511e-06,3.093376200191831,3.0881470803224826,3.098605320207826,0.010458239885343446,-0.024500001896031944,-0.507407312077669,0.5079984551578779,2.5496764764068227,2658.934383244606,4.935057476563253e-05,0.0006619999983286107,transverse_near_zero
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,48.005,48.00506000000637,48.00506200000131,0.00012130611721678055,4.2440285913477044e-05,-0.00011363976507276679,-1.2133735478075256,-1.2094689946765285,-1.217278039450713,-0.007809044774184537,-0.44339240791828194,-0.1665636500307205,0.47364572932850185,2.458742246848003,1846.9244498847074,5.745601800097805e-05,0.0008869999977605403,shallow_minimum
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,49.774,49.77379000000628,49.77378900000123,0.0001230138748257209,0.00010139534363262797,6.965197548712759e-05,0.6019033506633136,0.5982604545241892,0.6055462047764962,0.007285750252307044,-0.25311877108026376,0.36979522876571386,0.4481267939892343,2.306267504805704,1634.7594984785721,5.5125736733020224e-05,0.0009489999976040053,shallow_minimum
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,21.022,21.022259999999232,21.022257000001286,0.0003310570245884612,0.00020541291937788944,-0.00025962335426925234,-0.9014468741254267,-0.9003931532104004,-0.9025005942620252,-0.0021074410516248587,-0.273490510045371,-0.21654906241864502,0.3488417341994381,1.4974651839406397,366.08430647793944,0.00011548649867874656,0.0032930000033850604,shallow_minimum
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,32.935,32.934490000006186,32.93448700000114,4.855516998100788e-05,-1.5862176979724497e-05,4.589113066103806e-05,1.9035888266207575,-4.370786581533274,-4.388406940363344,-0.017620358830070515,0.4048214218483615,0.13830025542937688,0.42779357666888823,2.001694442699293,3766.942986630341,2.0771455892392245e-05,0.0003929999990077704,transverse_near_zero
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,37.586,37.58571000000625,37.58570500000121,4.748362914487748e-05,6.281883689404772e-06,4.706626152650163e-05,1.4381115661036241,1.4479060820016494,1.4283166126512385,-0.019589469350410837,0.46087713051629403,-0.0625738763975919,0.46510560031067594,2.2954374215630735,4553.321918796439,2.2084845369988385e-05,0.0003529999991087607,transverse_near_zero
