profile_name,nmax,sigma,bg_kmax,x_mode,x_cut,x_factor,x_fixed,refine_window,refine_dt,centers_count,target_t,refined_t,abs_min,re_c,im_c,arg_c,drift_from_target
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,14.134,14.135719999999178,0.0008521659146497771,0.0006880196772124564,-0.0005028077861960361,-0.6311022931370012,0.0017199999991781567
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,21.022,21.022259999999232,0.0003310590589058654,0.00020459244413467394,-0.0002602729956922876,-0.9046080206978331,0.000259999999233429
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,25.01,25.011629999999183,1.4277990076224077e-05,-1.41105786949476e-05,2.1800388781955465e-06,2.9883078111619894,0.001629999999181564
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,30.425,30.424239999999273,7.551694453304049e-05,-1.1473130438039933e-05,-7.464031209445761e-05,-1.7233148463949257,-0.0007600000007279561
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,32.935,32.934490000006186,4.856751145324085e-05,-1.4647707079247276e-05,4.630602386386949e-05,1.8771611865714157,-0.0005099999938167343
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,37.586,37.58571000000625,4.7535260753164196e-05,8.586270049555397e-06,4.6753363317599094e-05,1.3891698925496825,-0.00028999999374690333
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,40.919,40.919070000006364,0.00013290886556841961,0.00012374449459913922,-4.8498109273329835e-05,-0.37352268138236744,7.000000636736559e-05
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,43.327,43.3268600000063,0.00016700655014460121,-0.00016679730361812174,8.357469528829477e-06,3.0915289782624686,-0.00013999999369929128
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,48.005,48.004830000006294,0.00010550605896531061,-3.478205054849424e-05,9.960791855085415e-05,1.906749015669076,-0.0001699999937088137
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,0.02,1e-05,196875,49.774,49.77392000000632,0.00017209663810466145,-0.00014294356024366152,-9.583523063985146e-05,-2.5509815653004235,-7.999999368024646e-05
