profile,target_t,refined_t,abs_min,re_c,im_c,arg_c,drift_from_target
dyn_200k_k5,14.134,14.133889999999248,0.0003908204853260181,0.0003140610440872221,-0.0002326076360253642,-0.6374867572149769,-0.00011000000075256366
dyn_200k_k5,21.022,21.021609999999257,7.928358808790298e-05,-5.086978401830873e-05,6.081243634342316e-05,2.2674022985437214,-0.0003900000007419635
dyn_200k_k5,25.01,25.010469999999227,2.5768628294141135e-05,2.5710581912418794e-05,-1.7286358455194321e-06,-0.06713337515622379,0.00046999999922547886
dyn_200k_k5,30.425,30.42485999999925,0.00013255898554602184,2.1146619913215684e-05,0.00013086139658140754,1.4105857253693745,-0.00014000000075142793
dyn_200k_k5,32.935,32.93514000000639,0.00011922668923156093,-4.087579751142733e-05,0.00011200077054611721,1.920735854969956,0.00014000000638958454
dyn_200k_k5,37.586,37.586290000006436,9.904121677664013e-05,1.4184542344352308e-05,9.802020903404918e-05,1.4270835664067183,0.0002900000064371966
dyn_200k_k5,40.919,40.9188700000063,7.910353657978073e-05,7.394547616539522e-05,-2.8096904706776403e-05,-0.3631189294511478,-0.00012999999369611714
dyn_200k_k5,43.327,43.327230000006416,5.918071395159166e-05,5.915860747201834e-05,-1.6174256680823647e-06,-0.027333686640160604,0.00023000000641815177
dyn_200k_k5,48.005,48.005340000006456,6.0295959905520485e-06,3.929760203594583e-06,-4.573074737146289e-06,-0.8609131224955147,0.00034000000645306727
dyn_200k_k5,49.774,49.7738500000063,8.744815997798234e-05,-7.142674704769679e-05,-5.045196219889897e-05,-2.5266206400012647,-0.00014999999370246542
dyn_400k_k6,14.134,14.135009999999205,0.0006206607171036776,-0.000495309209859334,0.0003740167274122558,2.494824285299951,0.0010099999992050357
dyn_400k_k6,21.022,21.02258999999922,0.00014659281995452116,-9.096074780682006e-05,0.00011495911108147425,2.240175612943178,0.0005899999992209359
dyn_400k_k6,25.01,25.01091999999921,0.00021407030514376696,0.00021352640735931966,-1.5250209984369663e-05,-0.07129965428718298,0.0009199999992084429
dyn_400k_k6,30.425,30.425259999999234,0.00010904733879988158,-1.8921136481007313e-05,-0.00010739326186313204,-1.745192042648794,0.000259999999233429
dyn_400k_k6,32.935,32.935280000006436,0.0001504692979167807,5.041804555116986e-05,-0.00014177104887235992,-1.2291147016743589,0.00028000000643402245
dyn_400k_k6,37.586,37.58603000000635,0.00014398399033743148,1.7680518072238138e-05,0.00014289432722885406,1.4476905896591925,3.000000635466904e-05
dyn_400k_k6,40.919,40.91850000000618,0.0001045651172395142,-9.599222195529911e-05,4.146513074135834e-05,2.7338387225016114,-0.0004999999938135602
dyn_400k_k6,43.327,43.32727000000643,9.716830282969277e-05,-9.693621341669611e-05,6.711900121100436e-06,3.072462609174892,0.0002700000064308483
dyn_400k_k6,48.005,48.00506000000637,0.00012130798834776601,4.3327067445068675e-05,-0.00011330663380222803,-1.2055645184251529,6.000000636419145e-05
dyn_400k_k6,49.774,49.77379000000628,0.00012301543930968864,0.00010114222444615078,7.002177334686796e-05,0.6055462232059649,-0.00020999999372151024
dyn_800k_k7,14.134,14.135719999999178,0.0008521659146497771,0.0006880196772124564,-0.0005028077861960361,-0.6311022931370012,0.0017199999991781567
dyn_800k_k7,21.022,21.022259999999232,0.0003310590589058654,0.00020459244413467394,-0.0002602729956922876,-0.9046080206978331,0.000259999999233429
dyn_800k_k7,25.01,25.011629999999183,1.4277990076224077e-05,-1.41105786949476e-05,2.1800388781955465e-06,2.9883078111619894,0.001629999999181564
dyn_800k_k7,30.425,30.424239999999273,7.551694453304049e-05,-1.1473130438039933e-05,-7.464031209445761e-05,-1.7233148463949257,-0.0007600000007279561
dyn_800k_k7,32.935,32.934490000006186,4.856751145324085e-05,-1.4647707079247276e-05,4.630602386386949e-05,1.8771611865714157,-0.0005099999938167343
