target_t,min_refined_t,max_refined_t,span_t,max_abs_drift,min_abs_min,max_abs_min,status
14.134,14.133889999999248,14.135719999999178,0.0018299999999307204,0.0017199999991781567,5.2751582473908445e-06,0.0008521659146497771,drifting
21.022,21.021609999999257,21.02258999999922,0.0009799999999628994,0.0005899999992209359,4.817093413556851e-07,0.0003310590589058654,locked
25.01,25.010469999999227,25.011629999999183,0.001159999999956085,0.001629999999181564,8.603154572448238e-07,0.00021407030514376696,drifting
30.425,30.424239999999273,30.425259999999234,0.0010199999999613851,0.0007600000007279561,1.4003183546892848e-06,0.00013255898554602184,drifting
32.935,32.934490000006186,32.935280000006436,0.0007900000002507568,0.0005099999938167343,5.680153470657856e-07,0.0001504692979167807,locked
37.586,37.58571000000625,37.586290000006436,0.0005800000001840999,0.0002900000064371966,4.641612116537165e-07,0.00014398399033743148,locked
40.919,40.91850000000618,40.919070000006364,0.0005700000001809258,0.0004999999938135602,4.2777464069310654e-07,0.00013290886556841961,locked
43.327,43.3268600000063,43.32727000000643,0.0004100000001301396,0.0002700000064308483,1.5032972937696123e-06,0.00016700655014460121,locked
48.005,48.004830000006294,48.005340000006456,0.000510000000161881,0.00034000000645306727,2.3494358547609813e-07,0.00012130798834776601,locked
49.774,49.77379000000628,49.77392000000632,0.00013000000004126377,0.00020999999372151024,8.849492961274992e-07,0.00017209663810466145,locked
