profile_name,nmax,sigma,bg_kmax,x_mode,x_cut,x_factor,x_fixed,refine_window,refine_dt,centers_count,target_t,refined_t,abs_min,re_c,im_c,arg_c,drift_from_target
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,14.134,14.13410999999924,0.00019760503536340302,0.00015698863617254145,-0.00012000965841821721,-0.6526839240469929,0.00010999999923910764
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,21.022,21.02203999999924,1.0744631630826354e-06,-7.697656860344071e-07,-7.4962115593513e-07,-2.3694520420614005,3.999999924175768e-05
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,25.01,25.010859999999212,8.603154572448238e-07,-6.823255871093995e-08,-8.576053893872918e-07,-1.6501908031835426,0.0008599999992107143
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,30.425,30.42487999999925,1.4003183546892848e-06,-1.3889022233782841e-06,1.784435719620175e-07,3.013814509301263,-0.00012000000075218509
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,32.935,32.93506000000637,5.680153470657856e-07,-5.649702919000144e-07,-5.873673273750794e-08,-3.0380005260481346,6.000000636419145e-05
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,37.586,37.5861800000064,4.641612116537165e-07,4.4675445637452903e-07,-1.259209518441839e-07,-0.274730035095139,0.0001800000064022811
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,40.919,40.91872000000625,4.2777464069310654e-07,3.9525384845402504e-07,1.6360176802956308e-07,0.39244480197395937,-0.0002799999937437292
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,43.327,43.327070000006366,2.01878002751596e-06,2.1098026341894372e-07,2.0077251126449096e-06,1.4660963505651614,7.000000636736559e-05
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,48.005,48.005150000006395,8.041228919745484e-07,4.559499700013823e-07,6.623618725842013e-07,0.967918525332133,0.00015000000639275868
fixedX_400k_k6,400000,0.5,6,fixed,66666.66666666667,,66666.66666666667,0.02,1e-05,96875,49.774,49.77383000000629,8.849492961274992e-07,7.638607267725629e-07,-4.4682440265841365e-07,-0.5292837876867718,-0.0001699999937088137
