profile_name,nmax,sigma,bg_kmax,x_mode,x_cut,target_t,previous_refined_t,micro_refined_t,abs_min,re_c,im_c,arg_c,drift_from_previous,drift_from_target,estimated_curvature,valley_width_at_2x_min,complex_derivative_abs,abs_slope,phase_left,phase_right,phase_delta_lr
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,14.134,14.133889999999248,14.133892999997748,0.00039081978852779735,0.00031449562625325897,-0.00023201855135415934,-0.6356136713580502,2.999998500285983e-06,-0.00010700000225227768,153.24685980920225,0.003999999997006398,0.24401347880367982,-2.4097696765552207e-06,-0.636238034392812,-0.6349893082332484,0.0012487261595636179
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,25.01,25.010469999999227,25.010470000001284,2.5768628292166433e-05,2.571058185730151e-05,-1.728636635860406e-06,-0.06713340590128614,2.05702122002549e-12,0.0004700000012825001,5798.041114512078,0.00023000000023642997,0.3866002732329292,-0.0005665806805553377,-0.052132127403424884,-0.08213534408857594,-0.030003216685151053
dyn_200k_k5,200000,0.5,5,nmax/x_factor,66666.66666666667,30.425,30.42485999999925,30.42486300000131,0.0001325551408372924,1.9942943710325593e-05,0.0001310463443158992,1.4197727149571826,3.000002060105089e-06,-0.00013699999869132284,1245.0062512512316,0.0011290000011605628,0.4059335600844517,0.0005859221625947614,1.4167103385966435,1.4228350631876945,0.006124724591050956
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,14.134,14.135009999999205,14.135014999997704,0.0006206595129555129,-0.0004945332194387967,0.0003750401657071859,2.492754936632194,4.999998498789182e-06,0.0010149999977038249,105.25588983300443,0.003999999997006398,0.2568726473133792,2.233393358490668e-05,2.493168807074529,2.492341066174623,-0.0008277408999060043
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,25.01,25.01091999999921,25.010921000001268,0.00021406962376849053,0.00021349726742243106,-1.5643548943191836e-05,-0.07314211894452584,1.0000020580491764e-06,0.0009210000012664921,724.9193520041542,0.001881000001933586,0.3944160606011868,-0.0003189133751594882,-0.07129965808135726,-0.07498458525654174,-0.0036849271751844825
dyn_400k_k6,400000,0.5,6,nmax/x_factor,133333.33333333334,30.425,30.425259999999234,30.425257000001288,0.00010903854540313205,-1.772833505752672e-05,-0.00010758768758421644,-1.734109093645221,-2.999997946062649e-06,0.00025700000128736633,1486.4691501753928,0.0009370000009631951,0.4028482317050175,0.0007015280852363799,-1.7304145427022755,-1.7378035956274414,-0.007389052925165895
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,14.134,14.135719999999178,14.135716999997683,0.0008521655188580825,0.0006875976890418741,-0.0005033840378428176,-0.6319404408546402,-3.0000014952236143e-06,0.001716999997682933,67.31287348262643,0.003999999997006398,0.23808003895078284,3.095859077992605e-05,-0.632219823192093,-0.6316610584325163,0.0005587647595767242
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,25.01,25.011629999999183,25.011633000001243,1.4219948383081952e-05,-1.41844662851912e-05,1.003916441637011e-06,3.070934712294989,3.000002060105089e-06,0.001633000001241669,10850.13713584888,0.0001240000001274666,0.39281348886248707,-0.003106177350203954,3.043324518949158,3.0985569740334302,0.055232455084272214
dyn_800k_k7,800000,0.5,7,nmax/x_factor,266666.6666666667,30.425,30.424239999999273,30.424242000001332,7.551236266838194e-05,-1.2267495132541849e-05,-7.450923083037634e-05,-1.7339763261704773,2.000002059077133e-06,-0.000757999998668879,2144.10397028381,0.0006490000006671437,0.4025530040670306,-0.00014686000142084777,-1.7286454312830049,-1.739307239620481,-0.010661808337476097
fixedX_200k_k5,200000,0.5,5,fixed,66666.66666666667,14.134,14.133889999999248,14.133892999997748,0.00039081978852779735,0.00031449562625325897,-0.00023201855135415934,-0.6356136713580502,2.999998500285983e-06,-0.00010700000225227768,153.24685980920225,0.003999999997006398,0.24401347880367982,-2.4097696765552207e-06,-0.636238034392812,-0.6349893082332484,0.0012487261595636179
