box_id,subbox_id,sigma_box,t_box,sample_count,anchor_max,tau_max,factor_max,cos_anchor_min,cos_anchor_max,Q_worst_min,Q_phase_min
positive_pocket,"0,0","[0.84,0.88]","[32.75,32.875]",9,0.0137843443692762364945277,0.0643765204550715246294168,0.227656925729093375357677,0.460519597265573203210244,0.997228276569972437275174,0.0571743813898219606487837,0.0603114493040400465868185
positive_pocket,"0,1","[0.84,0.88]","[32.875,33.0]",9,0.0216104827485191226003528,0.0651805167804920920799541,0.341941871747599889191555,0.0210749389976558777666153,0.763557260115937743678974,0.0571743813898219606487837,0.0609961260558668649437533
positive_pocket,"1,0","[0.88,0.92]","[32.75,32.875]",9,0.0154704186940623695097475,0.0612150707166431859492704,0.268682016520625567536655,0.763557260115937743678974,0.999944978756423290474992,0.0545023306803492491434609,0.0573840656783399378776627
positive_pocket,"1,1","[0.88,0.92]","[32.875,33.0]",9,0.0215680084364986353220947,0.0619660505338051056748612,0.366163807582985469346542,0.256117524575110804682502,0.849330708027755984957625,0.0545023306803492491434609,0.0580221669498306482642603
early_anchor_fail,"0,0","[0.84,0.88]","[32.0,32.125]",9,0.0769677354891982448073462,0.0613843207599245389314014,1.25819258118558253467696,0.915436807874973901108203,0.966398775689442545266728,0.0571743813898219606487837,0.0574361942317129779487338
early_anchor_fail,"0,1","[0.84,0.88]","[32.125,32.25]",9,0.0707675146478699752434493,0.0616751423671609994815056,1.15285978197336937144177,0.856414404240196427111455,0.928686930634670929103141,0.0571743813898219606487837,0.0577214703042375393786195
early_anchor_fail,"1,0","[0.88,0.92]","[32.0,32.125]",9,0.0703581812069484801806886,0.0584159267919998847685826,1.20852489947776050658429,0.928686930634670929103141,0.971926115140255153317062,0.0545023306803492491434609,0.0547401595030892656752835
early_anchor_fail,"1,1","[0.88,0.92]","[32.125,32.25]",9,0.0647487724828271988524366,0.0586882739183074456244644,1.10840957318671871455331,0.880536868024910670352203,0.940640918451975555627516,0.0545023306803492491434609,0.0549998325263609146002193
late_anchor_fail,"0,0","[0.84,0.88]","[33.5,33.75]",9,0.132568914283754596265852,0.0720821708416621146428947,1.83913598516558968570922,0.40393692318322101913958,0.652437148067485253433491,0.0571743813898219606487837,0.0652428527239309907953318
late_anchor_fail,"0,1","[0.84,0.88]","[33.75,34.0]",9,0.16582108822364659108145,0.0752430041648593648779394,2.20380738467496998565636,0.62431766472754997164404,0.818967448020757692141396,0.0571743813898219606487837,0.0675485273969585983216433
late_anchor_fail,"1,0","[0.88,0.92]","[33.5,33.75]",9,0.12084155032181943933016,0.0683916744900562391000941,1.76690439622719157401587,0.455839633672403136666965,0.679489149382294689597452,0.0545023306803492491434609,0.0620133535977362000223887
late_anchor_fail,"1,1","[0.88,0.92]","[33.75,34.0]",9,0.150944686897188088994529,0.0713213741496168655959409,2.11640183180625040367521,0.652437148067485253433491,0.83161031308287809248569,0.0545023306803492491434609,0.064172969546837877054787
