sigma,t,N,K,M,q_abs,Q_worst,Q_phase,vertical_tail_upper,K4_norm,tau_norm,rect_norm,C_norm,Cut_exact,V_exact,H_up_qratio,HVec_norm,H_tail,U_current,U_direct_balanced,U_phase_aware,slack_current_Q,slack_direct_Q,slack_phase_Q,slack_current_Qphase,slack_direct_Qphase,slack_phase_Qphase,U_current_over_Q,U_direct_over_Q,U_phase_over_Q,current_pass_Q,direct_pass_Q,phase_pass_Q,current_pass_Qphase,direct_pass_Qphase,phase_pass_Qphase,cos_VVec_minus_K4,cos_tau_minus_K4,cos_rect_minus_K4,cos_C_minus_K4,cos_CutVec_minus_K4,cos_HVec_minus_K4,bottleneck,channel_mode
0.75,20.0,25,2,5,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.142360935962938745914815,0.19131423454628780316585,0.0811386953082804284129148,0.187240290357036644740402,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.471506917590851156900362,0.299782879361561099313235,0.25695720218636579040032,-0.404889442284374109101075,-0.233165404055084051513948,-0.190339726879888742601033,-0.381030307006335318484735,-0.209306268777045260897608,-0.166480591601849951984692,7.07782628239301854410346,4.50006365420476947923479,3.8572041495751865389578,no,no,no,no,no,no,0.663321503190944502112056,-0.99997566589445889555886,-0.999360217037328488467106,-0.936293240157709518262755,0.454239109342873928453253,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,2,9,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.2000916275952164005223,0.19131423454628780316585,0.0552781549571265243529254,0.136769652919768941741873,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.352468899707963068639053,0.223451701573139492254716,0.181111142090863550459567,-0.285851424401486020839766,-0.156834226266662444455429,-0.11449366678438650266028,-0.261992289123447230223425,-0.132975090988623653839089,-0.0906345315063477120439393,5.29093752182009535577797,3.35425052578379311934735,2.71867315982259349376391,no,no,no,no,no,no,0.489896903928305539223368,-0.99997566589445889555886,-0.996879977436512598819022,-0.936293240157709518262755,-0.367977416512817131215855,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,2,15,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.172741383673137716944436,0.19131423454628780316585,0.059311873682037498049154,0.157781595856979165947412,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.395294279096234524441195,0.248497363235260690156484,0.205802132389283912820471,-0.328676803789757476641908,-0.181879887928783642357197,-0.139184657082806865021185,-0.304817668511718686025568,-0.158020752650744851740856,-0.115325521804768074404844,5.93379255634746437805457,3.73021286219623401348752,3.08931149735832595542983,no,no,no,no,no,no,0.595291179491735089226106,-0.99997566589445889555886,-0.998859513281416433683962,-0.936293240157709518262755,0.110970194056107858568285,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,2,25,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.194404823757703301820624,0.19131423454628780316585,0.0537441594559010385151613,0.139901954463450993244217,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.356717671604352026190325,0.225050007615596057919296,0.182593395397948046508521,-0.290100196297874978391038,-0.158432532309119010120009,-0.115975920091470998709234,-0.266241061019836187774698,-0.134573397031080219503669,-0.0921167848134322080928933,5.35471616063584555667292,3.37824281962416275626994,2.74092337720572479846255,no,no,no,no,no,no,0.519531193117209286528182,-0.99997566589445889555886,-0.996821651086181701501156,-0.936293240157709518262755,-0.272787089686755305502079,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,2,50,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.191799182640104937457301,0.19131423454628780316585,0.0480902563497230396558494,0.137309947153595946457502,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.346278477185451819224945,0.216804097199563012273269,0.174236420996315026672675,-0.279661001878974771425658,-0.150186621893085964473982,-0.107618945689837978873388,-0.255801866600935980809317,-0.126327486615047173857642,-0.0837598104117991882570476,5.19801261744580168802123,3.25446282979270607338221,2.61547619742014543628446,no,no,no,no,no,no,0.551829041768956901647767,-0.99997566589445889555886,-0.994262579907930976328877,-0.936293240157709518262755,-0.240641794882301939923616,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,2,100,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.176148473636957621148062,0.19131423454628780316585,0.0461229458532740245787651,0.146060077839051429430193,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.360465412934795896700406,0.223586917388569480168876,0.180820759150518381563262,-0.293847937628318848901119,-0.15696944208209243236959,-0.114203283844041333763975,-0.269988802350280058284778,-0.133110306804053641753249,-0.0903441485660025431476347,5.41097379143320312549588,3.35628026069656068897198,2.71431419936951046164403,no,no,no,no,no,no,0.627211437378670776993417,-0.99997566589445889555886,-0.992684249506541918274443,-0.936293240157709518262755,0.092500795833421436919229,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,3,5,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.159126582319990329469221,0.19131423454628780316585,0.0399495605186653077218645,0.14949136550425735138834,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.360626774802994647529902,0.220844819719166685270123,0.177992119141326991773964,-0.294009299496517599730615,-0.154227344412689637470836,-0.111374643834849943974677,-0.270150164218478809114274,-0.130368209134650846854495,-0.0875155085568111533583368,5.41339600673716649898014,3.31511842355416469498756,2.67185326856752360954111,no,no,no,no,no,no,0.744453105526629333442362,-0.99997566589445889555886,-0.975205105002388152115379,-0.936293240157709518262755,0.599385045059776698234702,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,3,9,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.223656135966681394160364,0.19131423454628780316585,0.032630528824254486275036,0.0823533697061816456293115,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.229359455299133748383772,0.146387792226680158064265,0.103552661102316534432641,-0.162741979992656700584485,-0.0797703169202031102649786,-0.0369351857958394866333546,-0.138882844714617909968145,-0.055911181642164319648638,-0.013076050517800696017014,3.44293226730604892075104,2.19743830808981806470207,1.55443688950860574565064,no,no,no,no,no,no,0.673489593097696995022723,-0.99997566589445889555886,-0.943440377137212907380311,-0.936293240157709518262755,-0.976999327394450097671326,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,3,15,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.193084892447521914622676,0.19131423454628780316585,0.0101839236117084489368404,0.112592419190402110578278,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.262739336474818378210857,0.154180236498354585675037,0.111320991433986591586199,-0.19612186116834133041157,-0.0875627611918775378757498,-0.0447035161275095437869125,-0.172262725890302539795229,-0.0637036259138387472594092,-0.020844380849470753170572,3.94400020814467732226271,2.314411283061098431742,1.67104788828830225180957,no,no,no,no,no,no,0.731799089219684646466925,-0.99997566589445889555886,-0.953338889279234196014466,-0.936293240157709518262755,-0.485973043355817601195133,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,3,25,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.217299605273294789780727,0.19131423454628780316585,0.0263097248825787217409105,0.0879309923002695398846921,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.233335902003184182347052,0.14564461087909228778552,0.102787913076013189903898,-0.166718426696707134547766,-0.0790271355726152399862337,-0.0361704377695361421046113,-0.142859291418668343931425,-0.0551680002945764493698932,-0.0123113024914973514882707,3.50262301190056546132859,2.1862823562293065834857,1.54295719858989285918462,no,no,no,no,no,no,0.699573485731605065787816,-0.99997566589445889555886,-0.943196264318975788391746,-0.936293240157709518262755,-0.981764404432348720980266,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,3,50,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.214387101481497517720947,0.19131423454628780316585,0.0231191819402362431492752,0.0882678015779654100959953,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.230767166917815850382301,0.142790877214445679405188,0.0999442698047763638439665,-0.164149691611338802583014,-0.0761734019079686316059016,-0.0333267944982993160446797,-0.140290556333300011966673,-0.052314266629929840989561,-0.00946765922026052542833914,3.46406353372234365199089,2.14344474265242059318779,1.50027105267766033943179,no,no,no,no,no,no,0.751012427980860826652755,-0.99997566589445889555886,-0.93373225049536783210608,-0.936293240157709518262755,-0.910669168411178305098718,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,3,100,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.196893230584189846104033,0.19131423454628780316585,0.00691888374804811605990786,0.104098825613522808293147,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.243793661991533214953721,0.142421603057814950512972,0.0996700009818217134315641,-0.177176186685056167154434,-0.0758041277513379027136855,-0.0330525256753446656322773,-0.153317051407017376538093,-0.051944992473299112097345,-0.00919339039730587501593679,3.65960524426883792247333,2.13790154013788721361721,1.49615398246908724522045,no,no,no,no,no,no,0.803270463381360727568822,-0.99997566589445889555886,-0.928680251162229617057793,-0.936293240157709518262755,-0.538328206552560956905668,-0.718709350083661326288007,V_exact,zeta_diagnostic
0.75,20.0,25,4,5,0.297301778750680266679375,0.0666174753064770477992868,0.0904766105845158384156273,0.000982689218673123697663471,0.0914592998031889621132908,0.0917843158734029619225882,0.150701100230894988953775,0.19131423454628780316585,0.0425804467095072887865011,0.153156071306920682122439,0.0157019468481220130799589,0.0114576570053712631598747,0.0,0.370023338225722294038404,0.227140411712671997068858,0.184364003271187075040115,-0.303405862919245246239117,-0.160522936406194949269571,-0.117746527964710027240828,-0.279546727641206455622777,-0.13666380112815615865323,-0.0938873926866712366244875,5.55444853656508752994417,3.4096220348744995469901,2.76750210696234283151666,no,no,no,no,no,no,0.795171675219393774971453,-0.99997566589445889555886,-0.960079234367072401668072,-0.936293240157709518262755,0.808850782112455764116128,-0.718709350083661326288007,V_exact,zeta_diagnostic
