subbox_id,sigma,t,cutoff,q_abs,odd_trunc_norm,odd_trunc_over_target,h_qratio,raw_core_sum,continued_odd_target,odd_trunc_vector,channel_mode
S00_T00,0.84,32.8125,50,0.279321784518054991652748,0.0306465288369729407129069,0.788053598665018475474749,0.00663558945988876530297867,(0.553243971814843503013266 -0.0477769174993244240476671j),(0.540324554225087956241413 -0.0199866605934063176436056j),(0.0129194175897555467718532 -0.0277902569059181064040615j),zeta_diagnostic
S00_T00,0.84,32.8138020833333333333333,50,0.279321784518054991652748,0.0306454924723041693615888,0.788026949287821497869426,0.00663536506610801177789121,(0.552603475123848491829517 -0.046662824482343391786262j),(0.53982621211240837960972 -0.0188080626128436658826491j),(0.0127772630114401122197969 -0.0278547618694997259036129j),zeta_diagnostic
S00_T00,0.84,32.8151041666666666666667,50,0.279321784518054991652748,0.0306444561984887305396053,0.788000302246853071018421,0.00663514069199883081276381,(0.551965823172860318591892 -0.0455460040397211135879134j),(0.53933103662301329220691 -0.0176274642401381301347776j),(0.012634786549847026384982 -0.0279185397995829834531358j),zeta_diagnostic
S00_T00,0.84,32.81640625,50,0.279321784518054991652748,0.0306434200155160030733976,0.787973657541840079030224,0.00663491633755892271004531,(0.551331026175480420464145 -0.0444264633790148891360882j),(0.538839034252811704134896 -0.0164448742881268173806153j),(0.0124919919226687163292491 -0.0279815890908880717554729j),zeta_diagnostic
S00_T00,0.84,32.8177083333333333333333,50,0.279321784518054991652748,0.030642383923375367486109,0.787947015172509449642802,0.00663469200278598813955464,(0.550699094328165039865872 -0.0433042097466242300422125j),(0.538350211472566480408371 -0.0152603015894818459955898j),(0.012348882855598559457501 -0.0280439081571423840466228j),zeta_diagnostic
S00_T00,0.84,32.8190104166666666666667,50,0.279321784518054991652748,0.0306413479220562059972485,0.787920375138588154214961,0.00663446768767772813840798,(0.550070037810068358702631 -0.0421792504277577605054441j),(0.537864574727834635460221 -0.0140737549966373933367482j),(0.0122054630822337232424097 -0.0281054954311203671686959j),zeta_diagnostic
S00_T00,0.84,32.8203125,50,0.279321784518054991652748,0.030640312011547902522355,0.787893737439803207717699,0.0066342433922318441109461,(0.549443866782885648018488 -0.0410515927463994409342574j),(0.537382130438907841451132 -0.0128852433817165628670453j),(0.0120617363439778065673559 -0.0281663493646828780672121j),zeta_diagnostic
S00_T00,0.840416666666666666666667,32.8125,50,0.279241124871572160842726,0.0305966160815413849336731,0.786770127811064184008737,0.00662021587888456821300982,(0.553599899338561227665206 -0.0475716444461108650847538j),(0.54070122282829238284154 -0.0198267879872160808229728j),(0.0128986765102688448236657 -0.027744856458894784261781j),zeta_diagnostic
S00_T00,0.840416666666666666666667,32.8138020833333333333333,50,0.279241124871572160842726,0.0305955814045525107989396,0.786743521831350277687018,0.00661999200494331255168894,(0.552960276049240270862591 -0.0464584597429951690213909j),(0.540203521915264589613913 -0.0186492018340200761244718j),(0.012756754133975681248678 -0.0278092579089750928969191j),zeta_diagnostic
S00_T00,0.840416666666666666666667,32.8151041666666666666667,50,0.279241124871572160842726,0.0305945468182690286957905,0.786716918184060737891755,0.00661976815062805981263939,(0.552323495200595673104315 -0.0453425508833276570081456j),(0.539708984809878799174067 -0.0174696173703701167185618j),(0.0126145103907168739302484 -0.0278729335129575402895838j),zeta_diagnostic
S00_T00,0.840416666666666666666667,32.81640625,50,0.279241124871572160842726,0.0305935123226803347426543,0.78669031686892289338254,0.00661954431593651562497484,(0.551689566993802168509747 -0.0442239250692059263117986j),(0.539217618001688231742759 -0.016288043401069843530174j),(0.0124719489921139367669874 -0.0279358816681360827816245j),zeta_diagnostic
