box_id,sigma,t,N,K,M,q_abs,q_band,Q,weighted_margin,cleared_margin,odd_norm,odd_gap_norm,continued_exact_upper,continued_from_odd_upper,exact_odd_overshoot,genuine_proxy_upper,continued_proxy_upper,H_qratio,cutoff_proxy,external_component,weighted_external_debit,cleared_external_debit,anchor_norm,lower_factor_upper,lower_factor_cost,lower_factor_surplus,surplus_after_quarter,overshoot_deficit,overshoot_share,surplus_after_quarter_share,ordinary_spend_share,lower_factor_cost_share,exact_odd_pass,phase_payment,phase_slack,phase_payment_share_weighted,phase_pass,winner,diagnostic_mode
sigma_sweep,0.05,5.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,1.35965160577701039407577,1.7711566932081048227506,0.432700410512440950999761,1.22681014783832175798986,0.608877091369462080201347,0.432700410512440950999761,0.432700410512440950999761,3.65086577987544725931721,1.38849530360948399688542,11.3620840340494052745368,11.3620840340494052745368,5.87455916365676408894241,0.281829633774100271356732,1.79176675843238598080441,0.619798202180081259921934,-6.46115956512825575917828,-6.4694590153054031565998,7.07833610667486523680114,18.3408863952822450550817,-194.876132671990441142099,195.626132671990441142099,18.6698573083401529712157,no,1.18497322314368486343212,-12.482848830502937486385,18.4551044812536842195221,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,10.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,1.08806087713594923033295,1.97444579291747308181053,0.745749646913326639581059,0.981754531723157452522561,0.180954798886976792447374,0.745749646913326639581059,0.745749646913326639581059,1.85904947998413541352435,1.43160241570356074629506,8.79314976143850411045863,8.79314976143850411045863,4.54633836131335906296601,0.676635969484330848025264,4.30179687439635630823423,1.48805415456387249324852,-6.00119471516864196652846,-6.00949416534578936394998,6.19044896423276615639735,5.45080683131387671438108,-181.020851896098482257012,181.770851896098482257012,44.8238775702648813353948,no,1.32098159588469792379338,-10.0499229306330493826681,20.5733369275545687930764,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,15.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,1.72754757653013652476452,3.41311345447215838770688,0.604517436013671059485226,1.55876173628280105642575,0.731658946734866526176612,0.604517436013671059485226,0.604517436013671059485226,1.25290003643405638275819,0.478853530462923661349855,5.25646735873540784942412,5.25646735873540784942412,2.71776096693032833307377,0.597172148064797280137512,3.79659580021956322218073,1.31329774944551165178419,-3.99786091566725039517189,-4.00616036584439779259341,4.73781931257926431877002,22.0393800528345630615086,-120.675474890957007827003,121.425474890957007827003,39.5597817148685201542046,no,2.28350662965636394239524,-7.47576556170161914023544,35.5639710761916980071682,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,20.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,1.9549769078083471049463,3.18444403051642458164822,0.925222673921260173732606,1.76397063710908495412062,0.643103082878189736286061,0.925222673921260173732606,0.925222673921260173732606,0.951627828755650176777465,0.645909980064055589567002,5.93922715856746336722273,5.93922715856746336722273,3.07076951946876480743471,0.753543381791146692145082,4.79074526141679192775993,1.65718851862543928782443,-4.69476023738561450557308,-4.7030596875627619029946,5.34616277044095163928066,19.3718580493735364880744,-141.667808926447755697043,142.417808926447755697043,49.9186236212526811520023,no,2.13051782557238901624745,-8.00553655744969973188626,33.1812806417687329444966,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,25.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,1.15893441291634177734552,3.27144493685316088784491,0.496656258074796544769122,1.04570354082161611441502,0.420977475567714466669162,0.496656258074796544769122,0.496656258074796544769122,0.773282711386732011884362,0.430873418865601816770848,3.88136309931658040133918,3.88136309931658040133918,2.00678828762747121291033,0.700981687456594544958074,4.45657778791745527003394,1.54159512549699737393466,-3.51518561241587899715893,-3.52348506259302639458044,3.9444625381607408612496,12.6808844737353601915984,-106.136099000117223225874,106.886099000117223225874,46.4366642546331535027817,no,2.18872484067929638508001,-6.00587951330572413483526,34.0878129788371057567853,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,30.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,2.05325084594697228675903,4.65544358630610504631282,0.760551101441477911206257,1.85264295880108305288432,0.837352424183299952707483,0.760551101441477911206257,0.760551101441477911206257,0.656721333089678310559178,0.223758568832501474657938,4.01670594561344437581627,4.01670594561344437581627,2.07676484787521898004341,0.862218747955946344037461,5.48166234471624954409962,1.89618679452780412738247,-3.93975384169443351773981,-3.94805329187158091516133,4.78540571605488086786881,25.2231294335905697594739,-118.925145871186060490223,119.675145871186060490223,57.1178437744276621796649,no,3.11467416337768485767995,-7.0671716823009765819123,48.5088067709244771014053,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,35.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,3.64773991947901084595968,6.49630196023241416087636,2.17472736396417260820572,3.29134634996027741747221,0.85615839776841927500457,2.17472736396417260820572,2.17472736396417260820572,0.575676665660016150414433,0.300500580395831444703979,8.20245738639999974671857,8.20245738639999974671857,4.2409315984091501886387,1.936498482532893234933,12.3115286433589432803609,4.25873696078528861604853,-8.46647075848584921500117,-8.47477020866299661242269,9.33092860643141588742726,25.7896119470015702039267,-255.281073678782490398652,256.031073678782490398652,128.283707651856112381328,no,4.34628054189147902537361,-12.4845295016013261205083,67.6901890598426374679575,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,40.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,4.34070273799697226397879,8.19365172080951734296198,1.41173893676872943032718,3.91660491930286129965562,1.92058533226348050605552,1.41173893676872943032718,1.41173893676872943032718,0.51702535100863713560213,0.23805628058960900122068,5.69729106271660230039176,5.69729106271660230039176,2.94568085574819888881505,1.33242217525435241371911,8.47103879690850708893196,2.93025562183948595197815,-5.84273867687909525110713,-5.85103812705624264852865,7.77162345931972315458417,57.8527881748066760771646,-176.247763471341843353599,176.997763471341843353599,88.2665586061341837789439,no,5.48187403528822011403151,-11.1149566713146697628393,85.3762398157148693062654,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,45.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,1.2064218527341935609737,1.64744465947872096133231,1.04239551044605579045703,1.08855133566543492634571,0.035389598299057301991258,1.04239551044605579045703,1.04239551044605579045703,0.473506169586948617337951,0.392853360030469602843665,4.8243977727749516438808,4.8243977727749516438808,2.49436723582123265488716,0.711728203885292924693207,4.52490009543364523816311,1.56522880614658018261823,-4.02639824125922324781932,-4.03469769143637064524084,4.0700872897354279472321,1.06602237328030610198272,-121.535089834804451100309,122.285089834804451100309,47.1485692647583524516128,no,1.10220502543869288075634,-5.86239437152349187305321,17.1660494152511752834448,no,both_fail,zeta_diagnostic
sigma_sweep,0.05,50.0,50,4,50,0.482968164462422775532572,r>=0.45,0.124186601823836945861221,0.0642084266901526515839227,0.0331978007085895896860638,2.49679484715641693216384,5.97996053514948379479832,0.786309486697696022349872,2.25285157061351370778014,1.12445904697316792699466,0.786309486697696022349872,0.786309486697696022349872,0.440800440248808860630831,0.159514794248006929081252,3.53277434136857579654543,3.53277434136857579654543,1.82655680225785018052714,0.941627163365276152134884,5.98651116832956911094294,2.07082135104900223357232,-3.8641803525982628244134,-3.87247980277541022183491,4.99693884974857814882957,33.8714921763544928789531,-116.648685157431102925856,117.398685157431102925856,62.3782692482155450557706,no,4.00082789782593607679076,-7.46939381250435922175227,62.3100129385279655825413,no,both_fail,zeta_diagnostic
