profile_name,nmax,bg_kmax,x_mode,x_cut,target_t,box_center_t,sigma_center,sigma_radius,t_radius,box_samples,boundary_min_abs,boundary_min_sigma,boundary_min_t,raw_winding,rounded_winding,total_arg_variation,interior_min_abs,interior_min_sigma,interior_min_t,classification
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,21.022,21.02203999999924,0.5,0.002,0.002,400,0.0006866484047865079,0.502,21.02203999999924,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,32.935,32.93506000000637,0.5,0.002,0.002,400,0.0008511384880786551,0.502,32.93506000000637,1.0000000000000002,1,6.283185307179587,,,,zero_box_candidate
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,37.586,37.5861800000064,0.5,0.002,0.002,400,0.000926589442209047,0.502,37.5861800000064,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,40.919,40.91872000000625,0.5,0.002,0.002,400,0.0009353314564448237,0.502,40.91872000000625,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,43.327,43.327070000006366,0.5,0.002,0.002,400,0.0010188442414448414,0.502,43.327070000006366,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,48.005,48.005150000006395,0.5,0.002,0.002,400,0.0009346370581539877,0.502,48.005150000006395,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,49.774,49.77383000000629,0.5,0.002,0.002,400,0.0008903287716716367,0.502,49.77383000000629,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,21.022,21.02203999999924,0.5,0.002,0.002,400,0.0006866484047863491,0.502,21.02203999999924,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,32.935,32.93506000000637,0.5,0.002,0.002,400,0.0008511384880786785,0.502,32.93506000000637,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,37.586,37.5861800000064,0.5,0.002,0.002,400,0.0009265894422094632,0.502,37.5861800000064,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,40.919,40.91872000000625,0.5,0.002,0.002,400,0.0009353314564451293,0.502,40.91872000000625,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,43.327,43.327070000006366,0.5,0.002,0.002,400,0.0010188442414449292,0.502,43.327070000006366,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,48.005,48.005150000006395,0.5,0.002,0.002,400,0.0009346370581541054,0.502,48.005150000006395,1.0,1,6.283185307179586,,,,zero_box_candidate
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,49.774,49.77383000000629,0.5,0.002,0.002,400,0.0008903287716715175,0.502,49.77383000000629,1.0,1,6.283185307179586,,,,zero_box_candidate
