profile_name,nmax,bg_kmax,x_mode,x_cut,target_t,box_center_t,sigma_center,sigma_radius,t_radius,certify_precision,certify_samples,boundary_min_sample,boundary_min_sigma,boundary_min_t,derivative_upper,step_size,interpolation_error_bound,certified_boundary_margin,raw_winding,rounded_winding,total_arg_variation,status,sample_schedule
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,21.022,21.02203999999924,0.5,0.002,0.002,80,2000,0.0006866475867344916,0.502,21.02203599999924,357.9410095761733,2e-06,0.0003579410095761733,0.00032870657715831827,1.0,1,6.283185307179586,certified_finite_zero_box,2000
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,32.935,32.93506000000637,0.5,0.002,0.002,80,1000,0.0008511384880786551,0.502,32.93506000000637,357.9410095761733,4e-06,0.0007158820191523466,0.00013525646892630842,1.0000000000000002,1,6.283185307179587,certified_finite_zero_box,1000
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,37.586,37.5861800000064,0.5,0.002,0.002,80,1000,0.000926589442209047,0.502,37.5861800000064,357.9410095761733,4e-06,0.0007158820191523466,0.00021070742305670032,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,40.919,40.91872000000625,0.5,0.002,0.002,80,1000,0.0009353314564448237,0.502,40.91872000000625,357.9410095761733,4e-06,0.0007158820191523466,0.0002194494372924771,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,43.327,43.327070000006366,0.5,0.002,0.002,80,1000,0.0010188441384515543,0.502,43.32707400000636,357.9410095761733,4e-06,0.0007158820191523466,0.0003029621192992077,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,48.005,48.005150000006395,0.5,0.002,0.002,80,1000,0.0009346370022958191,0.502,48.00515400000639,357.9410095761733,4e-06,0.0007158820191523466,0.0002187549831434725,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_400k_K18,400000,18,fixed,66666.66666666667,49.774,49.77383000000629,0.5,0.002,0.002,80,1000,0.0008903287716716367,0.502,49.77383000000629,357.9410095761733,4e-06,0.0007158820191523466,0.00017444675251929002,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,21.022,21.02203999999924,0.5,0.002,0.002,80,2000,0.0006866475867345302,0.502,21.02203599999924,357.9410095761733,2e-06,0.0003579410095761733,0.00032870657715835687,1.0,1,6.283185307179586,certified_finite_zero_box,2000
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,32.935,32.93506000000637,0.5,0.002,0.002,80,1000,0.0008511384880786785,0.502,32.93506000000637,357.9410095761733,4e-06,0.0007158820191523466,0.00013525646892633184,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,37.586,37.5861800000064,0.5,0.002,0.002,80,1000,0.0009265894422094632,0.502,37.5861800000064,357.9410095761733,4e-06,0.0007158820191523466,0.00021070742305711655,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,40.919,40.91872000000625,0.5,0.002,0.002,80,1000,0.0009353314564451293,0.502,40.91872000000625,357.9410095761733,4e-06,0.0007158820191523466,0.00021944943729278264,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,43.327,43.327070000006366,0.5,0.002,0.002,80,1000,0.0010188441384515485,0.502,43.32707400000636,357.9410095761733,4e-06,0.0007158820191523466,0.00030296211929920186,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,48.005,48.005150000006395,0.5,0.002,0.002,80,1000,0.0009346370022960173,0.502,48.00515400000639,357.9410095761733,4e-06,0.0007158820191523466,0.00021875498314367068,1.0,1,6.283185307179586,certified_finite_zero_box,1000
fixedX_fullDepth_800k_K19,800000,19,fixed,66666.66666666667,49.774,49.77383000000629,0.5,0.002,0.002,80,1000,0.0008903287716715175,0.502,49.77383000000629,357.9410095761733,4e-06,0.0007158820191523466,0.00017444675251917087,1.0,1,6.283185307179586,certified_finite_zero_box,1000
