profile_name,target_t,nmax,bg_kmax,x_cut,sigma_min,certified_boundary_margin,tail_method,tail_bound,margin_minus_tail,tail_to_margin_ratio,finite_box_status,lift_status
fixedX_fullDepth_400k_K18,21.022,400000,18,66666.66666666667,0.498,0.00032870657715831827,crude_integral,1.0455626826621376e-15,0.0003287065771572727,3.1808389467015525e-12,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_400k_K18,32.935,400000,18,66666.66666666667,0.498,0.00013525646892630842,crude_integral,1.0455626826621376e-15,0.00013525646892526287,7.730223115848086e-12,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_400k_K18,37.586,400000,18,66666.66666666667,0.498,0.00021070742305670032,crude_integral,1.0455626826621376e-15,0.00021070742305565477,4.962154002428201e-12,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_400k_K18,40.919,400000,18,66666.66666666667,0.498,0.0002194494372924771,crude_integral,1.0455626826621376e-15,0.00021944943729143156,4.7644810374639325e-12,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_400k_K18,43.327,400000,18,66666.66666666667,0.498,0.0003029621192992077,crude_integral,1.0455626826621376e-15,0.00030296211929816216,3.4511333795811346e-12,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_400k_K18,48.005,400000,18,66666.66666666667,0.498,0.0002187549831434725,crude_integral,1.0455626826621376e-15,0.00021875498314242694,4.779606240907416e-12,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_400k_K18,49.774,400000,18,66666.66666666667,0.498,0.00017444675251929002,crude_integral,1.0455626826621376e-15,0.00017444675251824447,5.993592128042172e-12,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_800k_K19,21.022,800000,19,66666.66666666667,0.498,0.00032870657715835687,crude_integral,4.6204093614534147e-63,0.00032870657715835687,1.405633377158589e-59,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_800k_K19,32.935,800000,19,66666.66666666667,0.498,0.00013525646892633184,crude_integral,4.6204093614534147e-63,0.00013525646892633184,3.416035771250206e-59,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_800k_K19,37.586,800000,19,66666.66666666667,0.498,0.00021070742305711655,crude_integral,4.6204093614534147e-63,0.00021070742305711655,2.1928080626760635e-59,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_800k_K19,40.919,800000,19,66666.66666666667,0.498,0.00021944943729278264,crude_integral,4.6204093614534147e-63,0.00021944943729278264,2.105455096377854e-59,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_800k_K19,43.327,800000,19,66666.66666666667,0.498,0.00030296211929920186,crude_integral,4.6204093614534147e-63,0.00030296211929920186,1.5250782415112275e-59,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_800k_K19,48.005,800000,19,66666.66666666667,0.498,0.00021875498314367068,crude_integral,4.6204093614534147e-63,0.00021875498314367068,2.1121390219572235e-59,certified_finite_zero_box,finite_to_infinite_lift_pass
fixedX_fullDepth_800k_K19,49.774,800000,19,66666.66666666667,0.498,0.00017444675251917087,crude_integral,4.6204093614534147e-63,0.00017444675251917087,2.648607265386413e-59,certified_finite_zero_box,finite_to_infinite_lift_pass
