source_box_id,t_min,t_max,budgetCombinedConst,mainNormLowerConst,numeratorUpperConst,parallelUpperConst,restUpperCombinedConst,budget_loss_to_interval_combined,recommended_next_action
s0.5_t23,47.615,47.619,-0.05017396133421642,0.35137943518375314,0.10672587923375795,0.30373399393150563,0.09781940258646393,0.05498377839400641,abandon_box_for_now
s0.5_t184,48.42,48.424,-0.04619511758902736,0.2448933657840906,0.0510015444513389,0.20826021271766193,0.08282827065545603,0.05022438122449244,abandon_box_for_now
s0.5_t185,48.425,48.429,-0.04063509540455103,0.25142500989761984,0.05265757363146601,0.20943649819446422,0.08262360710770665,0.04911839101237302,abandon_box_for_now
s0.5_t22,47.61,47.614,-0.04334050240912797,0.3587349785227737,0.10903344862395045,0.30393871563051006,0.0981367653013916,0.054919071424738175,improve_main_lower
s0.5_t21,47.605,47.609,-0.03642637821229368,0.3660630189987836,0.11130362278942114,0.3040559057122102,0.09843349149886706,0.054749599443771446,improve_main_lower
s0.5_t186,48.43,48.434,-0.0351629173919554,0.2579443199091008,0.0543509436063938,0.21070804592846623,0.08239919137259,0.047937840433642395,improve_main_lower
s0.5_t187,48.435,48.439,-0.02977688376971145,0.264442837079396,0.0560792190146579,0.21206556257684056,0.08215415827226687,0.04668639673437401,improve_main_lower
s0.5_t20,47.6,47.604,-0.029436639540334028,0.37335442266210056,0.11353048418264419,0.3040823338133949,0.0987087283890397,0.054479127920133416,improve_main_lower
s0.5_t188,48.44,48.444,-0.024479696274047905,0.2709089706671003,0.05783882908935791,0.21349912831211376,0.08188953862903443,0.04537175947855615,improve_main_lower
s0.5_t19,47.595,47.599,-0.022374299247500687,0.38060163488292925,0.1157082355287938,0.3040140265408606,0.09896190758956931,0.054109336802566715,improve_main_lower
s0.5_t191,48.455,48.459,-0.009089538701310587,0.29004080412854655,0.06327366226006367,0.21815434711048687,0.08097599571937027,0.041061698823550416,subdiv_t_256
s0.5_t17,47.585,47.589,-0.008193459916576107,0.3949298233774977,0.1199254854263535,0.30366277330167973,0.09946050999239409,0.05322782425037839,subdiv_t_256
s0.5_t192,48.46,48.464,-0.004152320768411016,0.29628912468963264,0.0651263728578564,0.21980682863766013,0.08063461682038353,0.039541906721702505,subdiv_t_256
s0.5_t16,47.58,47.584,-0.0010944767896502172,0.40199294966308474,0.12195561908266969,0.30337750745350683,0.09970991899922813,0.0527326513334295,subdiv_t_256
s0.5_t193,48.465,48.469,-0.00042970696292068955,0.30210582851277606,0.06705048518077876,0.22194369936806166,0.0805918361076351,0.03910461264469982,subdiv_t_256
s0.5_t189,48.445,48.449,-0.019264590761235142,0.2773363983341642,0.059626349072686845,0.21499647875589242,0.0816045103395069,0.04399180337202116,subdiv_t_512
s0.5_t18,47.59,47.594,-0.015245506641163753,0.3877969014898274,0.11783179422433787,0.3038492411147561,0.09919316701623504,0.05364498646361435,subdiv_t_512
s0.5_t190,48.45,48.454,-0.014133401281580013,0.2837168000419626,0.061439077154747744,0.21655071939927673,0.08129948192426588,0.04255265697379443,subdiv_t_512
