sigma,t,q_abs,main_base,seed_complex_re,seed_complex_im,seed_abs,prefix_abs,seed_prefix_norm_tax,main_seeded_oriented,oriented_gain,tail_without_tilt,tilt_tail_upper,vertical_tail,horizontal_tail,horizontal_defect,cutoff_budget,defect_total,surplus_no_tilt,surplus_tilt_norm_only,surplus_tilt_oriented,norm_tax,net_oriented_gain,failure_class
0.84,32.82,0.27932178451805495,0.06443933805174411,-0.012925584950474625,-0.0020660632799937954,0.013089666297842539,0.8259266023210708,0.010811103610893718,0.06643330286212154,0.0019939648103774327,0.0007591071973864862,0.00011056213395324759,0.0006590030936671941,0.00010010409328689991,0.016344847686100027,1.043239217620721e-11,0.016344847686100027,0.0473353831682576,0.03641371742341063,0.049218785844681784,0.010921665744846966,-0.008927700934469533,pass
0.84,32.821,0.279321784518055,0.0644452375671126,-0.01275154885153352,-0.0018778895773206225,0.012889083263663682,0.8260022171059357,0.01064641135224921,0.06628381614947887,0.0018385785823662737,0.0007591044653421635,0.00010886790525489755,0.000659003093667195,0.00010010136124267413,0.016344401601976206,1.0432294390515558e-11,0.016344401601976206,0.047341731499794225,0.03658645224229012,0.0490714421769056,0.010755279257504108,-0.008916700675137834,pass
0.84,32.822,0.279321784518055,0.06445113993023564,-0.01257583408655073,-0.0016908507303085402,0.012688994411088539,0.8260778683908073,0.010482097455134887,0.06613498829539431,0.0016838483651586689,0.0007591017327253773,0.00010717785067156483,0.000659003093667195,0.00010009862862617048,0.016343955424411732,1.043201180146266e-11,0.016343955424411732,0.04734808277309853,0.03675880746729208,0.04892475328758563,0.010589275305806452,-0.008905426940647783,pass
0.84,32.823,0.279321784518055,0.06445704514082883,-0.012398448481085136,-0.0015049624218445483,0.012489453015616278,0.8261535561720399,0.010318206023494996,0.06598683579475033,0.0015297906539215034,0.0007590989995365345,0.00010549242019584227,0.000659003093667195,0.00010009589543750001,0.016343509153424716,1.043183956563453e-11,0.016343509153424716,0.04735443698786757,0.036930738544176736,0.048778735221593233,0.010423698443690838,-0.008893907789769335,pass
0.84,32.824,0.279321784518055,0.06446295319862931,-0.012219400018448304,-0.001320240267474526,0.012290515496703774,0.8262292804462641,0.010154783775155217,0.0658393752161756,0.001376422017546286,0.0007590962657757965,0.00010381209037582568,0.000659003093667195,0.00010009316167678762,0.016343062789035533,1.0431813853911125e-11,0.016343062789035533,0.047360794143817976,0.03710219827828694,0.048633404070988435,0.010258595865531041,-0.008882173847984755,pass
0.84,32.825,0.27932178451805495,0.06446886410339564,-0.012038696839036737,-0.0011366998137470816,0.012092241646973723,0.826305041210386,0.009991880232428568,0.06569262320004171,0.001223759096646071,0.000759093531442959,0.00010213736625112477,0.0006590030936671941,0.00010009042734414268,0.01634261633126208,1.0431622280932328e-11,0.01634261633126208,0.0473671542406906,0.03727313664201091,0.04848877597108555,0.010094017598679693,-0.008870258502033622,pass
0.84,32.826,0.279321784518055,0.06447477785490785,-0.011856347239644266,-0.0009543565365715267,0.011894694879059193,0.8263808384615856,0.009829547927401663,0.06554659645638966,0.001071818601481811,0.0007590907965385362,0.0001004687834378413,0.000659003093667195,0.00010008769243969328,0.016342169780125204,1.0431647986815663e-11,0.016342169780125204,0.04737351727824411,0.03744350056740461,0.04834486709628808,0.009930016710839505,-0.008858198109357694,pass
0.84,32.827,0.27932178451805495,0.06448069445296753,-0.011672359672742882,-0.0007732258395685532,0.011697942491261054,0.8264566721973204,0.009667842622883243,0.06540131176276724,0.0009206173097997122,0.0007590880610622044,9.880691037244879e-05,0.0006590030936671941,0.00010008495696353513,0.016341723135640605,1.0431475115966245e-11,0.016341723135640605,0.04737988325626472,0.03761323372300903,0.048201693655691984,0.009766649533255692,-0.00884603222345598,pass
0.84,32.828,0.279321784518055,0.06448661389739788,-0.011486742745772157,-0.0005933230524454812,0.011502055953268201,0.8265325424153238,0.009506823550058077,0.06525678596200309,0.0007701720646052096,0.0007590853250144167,9.715235072513586e-05,0.000659003093667195,0.00010008222091579417,0.01634127639782878,1.0431427492803493e-11,0.01634127639782878,0.04738625217455468,0.03778227627377147,0.04805927188843476,0.009603975900783213,-0.008833803836178003,pass
0.84,32.829,0.279321784518055,0.06449253618804338,-0.011299505220380417,-0.00041466342937965364,0.011307111213084852,0.826608449113603,0.0093465536638031,0.06511303595989947,0.0006204997718560895,0.0007590825883950097,9.550574599227226e-05,0.000659003093667195,0.00010007948429657532,0.016340829566706908,1.0431239399823353e-11,0.016340829566706908,0.04739262403294146,0.03795056462314609,0.04791761805880528,0.009442059409795372,-0.008821559637939283,pass
0.84,32.83,0.279321784518055,0.0644984613247703,-0.011110656011683744,-0.00023726214738747917,0.011113189026402234,0.8266843922904434,0.009187099916700156,0.06497007872283014,0.0004716173980598426,0.0007590798512042646,9.386777827845483e-05,0.000659003093667195,0.00010007674710599581,0.01634038264229412,1.0431073767864021e-11,0.01634038264229412,0.04739899883127192,0.03811803113629331,0.04777674845105331,0.00928096769497861,-0.008809350296918768,pass
