sigma,t,full_abs,total_mass,full_efficiency,depth_main_abs,depth_rest_abs,depth_surplus,depth_coverage,core_main_abs,core_rest_abs,core_surplus,core_coverage,center_main_abs,center_rest_abs,center_surplus,center_coverage,layer_sum_abs,layer_efficiency,tilt_factor_min,tilt_factor_max
0.72,13.8,0.08279048903486816,7.531115556708288,0.01099312424719378,0.08221088651539908,0.0006921384736113557,0.08151874804178773,0.008419061062937326,0.09972568594758552,0.03490968339173565,0.06481600255584988,0.3500570897058929,0.09374149216879757,0.020323683777089475,0.0734178083917081,0.21680563544362202,0.1537177704747331,0.5385876257454346,1.2683845309871202,1.2788757298192621
0.72,13.801,0.08262805330847882,7.531115556708288,0.010971555632933883,0.08205066759442863,0.0006907547882799572,0.08135991280614867,0.008418637026749318,0.0997557460684063,0.03490788842774868,0.06484785764065762,0.3499336108800291,0.09375757915116976,0.020322213814551942,0.07343536533661782,0.21675275746812403,0.1534115387315404,0.5386039015818244,1.2683845309871202,1.2788757298192621
0.72,13.802000000000001,0.08246573968595011,7.531115556708288,0.010950003231924165,0.08189057020766229,0.0006893720954500291,0.08120119811221226,0.00841821095764609,0.0997851597572826,0.03490609574162135,0.06487906401566124,0.3498124954304521,0.09377243048025705,0.02032074404731723,0.07345168643293981,0.21670275520474627,0.15310553136010943,0.5386202507079113,1.2683845309871202,1.2788757298192621
0.72,13.803,0.08230354929751378,7.531115556708288,0.010928467194239568,0.08173059544665626,0.0006879904040936217,0.08104260504256264,0.008417782842933742,0.09981392205113254,0.03490430533080253,0.06490961672033002,0.34969375627702315,0.09378603130629372,0.02031927447535406,0.07346675683093966,0.2166556596151701,0.15279975044535174,0.538636673539263,1.2683845309871202,1.2788757298192621
0.72,13.804,0.08214148328115013,7.531115556708288,0.010906947670983907,0.08157074441077831,0.0006866097232469095,0.0808841346875314,0.008417352669840103,0.0998420280293703,0.03490251719276886,0.06493951083660143,0.34957740624521033,0.09379836697138116,0.020317805098628548,0.07348056187275262,0.2166115014009542,0.15249419808614384,0.5386531704947127,1.2683845309871202,1.2788757298192621
0.72,13.805000000000001,0.0819795427826579,7.531115556708288,0.010885444814299152,0.08141101820727747,0.0006852300620123239,0.08072578814526515,0.008416920425533629,0.09986947281372652,0.034900731325027565,0.06496874148869895,0.3494634580691473,0.09380942300893876,0.020316335917111274,0.07349308709182747,0.2165703110142294,0.15218887639543152,0.5386697419964578,1.2683845309871202,1.2788757298192621
0.72,13.806000000000001,0.08181772895568787,7.531115556708288,0.010863958777369882,0.08125141795131854,0.000683851429557547,0.080567566521761,0.008416486097107547,0.09989625156805837,0.034898947725115675,0.0649973038429427,0.34935192439467416,0.09381918514311084,0.020314866930772585,0.07350431821233826,0.21653211866831384,0.15188378750033313,0.5386863884699242,1.2683845309871202,1.2788757298192621
0.72,13.807,0.08165604296180508,7.531115556708288,0.010842489714431554,0.08109194476604688,0.0006824738351165341,0.08040947093093034,0.008416049671585695,0.0999223594981609,0.03489716639058918,0.06502519310757172,0.3492428177822549,0.09382763928818547,0.020313398139577735,0.07351424114860773,0.21649695434824337,0.15157893354224022,0.5387031103438271,1.2683845309871202,1.2788757298192621
0.72,13.808,0.08149448597052433,7.531115556708288,0.010821037780775212,0.08093259978262143,0.0006810972879908204,0.08025150249463062,0.008415611135935258,0.09994779185158383,0.03489538731904286,0.06505240453254096,0.3491361507101659,0.09383477154798127,0.02031192954349752,0.07352284200448375,0.21646484782148442,0.15127431667691554,0.5387199080500649,1.2683845309871202,1.2788757298192621
0.72,13.809000000000001,0.08133305915938406,7.531115556708288,0.0107996031327573,0.08077338414029309,0.0006797217975483469,0.08009366234274475,0.008415170477044228,0.09997254391744573,0.034893610508089104,0.06507893340935662,0.3490319355772639,0.09384056821525402,0.020310461142501315,0.0735301070727527,0.21643582864835847,0.15096993907461223,0.5387367820237889,1.2683845309871202,1.2788757298192621
0.72,13.81,0.08117176371396954,7.531115556708288,0.010778185927802737,0.08061429898642565,0.000678347373225875,0.07993595161319977,0.008414727681749109,0.09999661102624328,0.0348918359553775,0.06510477507086579,0.348930184706164,0.09384501577104376,0.020308992936557347,0.07353602283448642,0.2164099261926254,0.1506658029201567,0.5387537327032693,1.2683845309871202,1.2788757298192621
0.72,13.811,0.0810106008279855,7.531115556708288,0.010756786324414565,0.08045534547657147,0.0006769740245282707,0.07977837145204321,0.008414282736818338,0.10001998854967124,0.034890063658576075,0.06512992489109518,0.3488309103459776,0.0938481008840672,0.02030752492563395,0.07354057595843325,0.21638716963191743,0.15036191041307612,0.5387707605299252,1.2683845309871202,1.2788757298192621
