label,source_box_id,sigma_min,sigma_max,t_min,t_max,mainNormLowerConst,numeratorUpperConst,parallelUpperConst,restUpperCombinedConst,restUpperSeparateConst,budgetCombinedConst,budgetSeparateConst,certified_combined,certified_separate,status,main_lower_method,main_center_abs,main_radius,main_lower_rect,main_lower_improved,main_lower_gain,interval_dps,inflate,point_budget_combined_from_scout,point_budget_separate_from_scout,budget_loss_to_interval_combined,budget_loss_to_interval_separate,notes
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t0,0.84,0.84,32.82,32.824,0.055948109141748074,4.932331076515e-05,0.0008815903079081058,0.009564747009115212,0.009569664294255513,0.04550177182472476,0.04549685453958446,True,True,certified_combined_and_separate,rect,0.06587724226405628,0.01397166766806858,0.055948109141748074,0.055948109141748074,0.0,50,1e-12,0.06275575209766036,0.0627403274431481,0.017253980272935607,0.017243472903563643,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t1,0.84,0.84,32.825,32.829,0.055214852713050926,1.0863915647200477e-05,0.00019675712445815536,0.009538753596760539,0.009549648950340679,0.04547934199183223,0.045468446638252086,True,True,certified_combined_and_separate,rect,0.06514990695545957,0.013963977915055605,0.055214852713050926,0.055214852713050926,0.0,50,1e-12,0.06202601199915288,0.062014931712766404,0.01654667000732065,0.016546485074514318,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t2,0.84,0.84,32.83,32.834,0.054499061832326424,5e-324,9e-323,0.009505915459649685,0.00952507510902585,0.04499314637267674,0.04497398672330057,True,True,certified_combined_and_separate,rect,0.06444228223361133,0.013954895200720492,0.054499061832326424,0.054499061832326424,0.0,50,1e-12,0.061316751067018144,0.061309282163741506,0.016323604694341402,0.016335295440440933,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t3,0.84,0.84,32.835,32.839,0.0538008644456791,5e-324,9.4e-323,0.009466110068572418,0.009495764740580068,0.04433475437710668,0.044305099705099035,True,True,certified_combined_and_separate,rect,0.0637565095723684,0.013944096731924992,0.0538008644456791,0.0538008644456791,0.0,50,1e-12,0.06063011201907159,0.06062551807669913,0.016295357641964908,0.016320418371600094,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t4,0.84,0.84,32.84,32.844,0.05312316260364609,5e-324,9.4e-323,0.009419938492320085,0.009462318711723858,0.04370322411132601,0.043660843891922235,True,True,certified_combined_and_separate,rect,0.0630947654174413,0.013932667544452723,0.05312316260364609,0.05312316260364609,0.0,50,1e-12,0.059968264550258166,0.059965806333122276,0.016265040438932156,0.01630496244120004,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t5,0.84,0.84,32.845,32.849000000000004,0.05246816463564666,5e-324,9.4e-323,0.009367361902509768,0.009424753835108273,0.04310080273313689,0.04304341080053838,True,True,certified_combined_and_separate,rect,0.06245923477836404,0.013920658454731845,0.05246816463564666,0.05246816463564666,0.0,50,1e-12,0.0593333954426834,0.05933233152791756,0.01623259270954651,0.016288920727379176,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t6,0.84,0.84,32.85,32.854,0.05183631819642877,5e-324,9.4e-323,0.009308037589825189,0.009382794528048096,0.04252828060660358,0.04245352366838067,True,True,certified_combined_and_separate,rect,0.06185210198186839,0.013907339690772362,0.05183631819642877,0.05183631819642877,0.0,50,1e-12,0.05872765779350421,0.05872728467549246,0.016199377186900628,0.016273761007111788,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t7,0.84,0.84,32.855,32.859,0.0512304176890232,5e-324,1e-322,0.009242234468723666,0.009336474600565758,0.041988183220299534,0.04189394308845744,True,True,certified_combined_and_separate,rect,0.06127555446355502,0.013892600600321707,0.0512304176890232,0.0512304176890232,0.0,50,1e-12,0.05815285327628608,0.05815285049463522,0.016164670055986548,0.016258907406177782,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.84_t8,0.84,0.84,32.86,32.86,0.06113582348876163,5e-324,8e-323,0.0030933849308432274,0.003093695894607568,0.0580424385579184,0.05804212759415406,True,True,certified_combined_and_separate,rect,0.06113582522850118,2.2646331416640866e-09,0.06113582348876163,0.06113582348876163,0.0,50,1e-12,0.05804244116645989,0.058042130215292864,2.6085414869814194e-09,2.6211388060026763e-09,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.85_t0,0.85,0.85,32.82,32.824,0.05704694679504385,2.0642638337700725e-05,0.00036185351710170974,0.008796160233054105,0.008800485231309815,0.04788893304488803,0.047884608046632325,True,True,certified_combined_and_separate,rect,0.06636607584524648,0.012978305574623338,0.05704694679504385,0.05704694679504385,0.0,50,1e-12,0.06354434846762408,0.0635301187377978,0.015655415422736046,0.01564551069116548,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
interval_positive_box_sigmas084_086_t32p82_32p86_w005_fast_sub8,s0.85_t1,0.85,0.85,32.825,32.829,0.05638195869136093,5e-324,9e-323,0.008772472859277318,0.008782120870448452,0.04760948583208361,0.047599837820912476,True,True,certified_combined_and_separate,rect,0.06571087702014017,0.01297113336106502,0.05638195869136093,0.05638195869136093,0.0,50,1e-12,0.06288689423602717,0.06287673055353539,0.015277408403943558,0.015276892732622914,mode=fast; subdiv_sigma=1; subdiv_t=8; main_lower_method=rect
