label,box_id,sigma,t,main_abs,d0_neg_re_main,d0_destructive_numerator,parallel_exact,D0_abs,Drest_abs,RvecTail_abs,rest_combined,rest_separate,bounded_surplus_combined,bounded_surplus_separate,angle_D0_vs_M,angle_Drest_vs_M,failure_class
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t0,0.5,24.5,0.3501324937050113,0.17389803641107707,0.17389803641107707,0.4966635189180333,0.503288664494151,0.14896095821457997,0.00300533224564912,0.15190830890682225,0.15196629046022908,-0.29843933411984425,-0.29849731567325105,170.69311531287306,45.00892986412963,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t0,0.5,24.501,0.35182698612182167,0.17474287402250988,0.17474287402250988,0.4966727423291071,0.5032803147371313,0.14899395690698203,0.0029998868452594573,0.1519322655795932,0.15199384375224148,-0.2967780217868786,-0.2968395999595269,170.70541664851223,45.05000720518823,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t0,0.5,24.502,0.3535185473557595,0.17558744736358398,0.17558744736358398,0.4966852479931795,0.5032719708429502,0.14902700191020127,0.002994439053447708,0.1519561660527742,0.15202144096364897,-0.29512286669019416,-0.295188141601069,170.72004741219592,45.093426486216956,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t0,0.5,24.503,0.3552070529023002,0.1764316849092659,0.1764316849092659,0.49670096206618247,0.5032636328093972,0.1490600932023589,0.0029889888737667696,0.15198001105573594,0.1520490820761257,-0.2934739202196182,-0.29354299124000793,170.7369664336248,45.13914655936914,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t0,0.5,24.504,0.35689238055284084,0.17727551536696237,0.17727551536696237,0.49671980974308105,0.5032553006342615,0.14909323076146938,0.0029835363097731778,0.15200380132167976,0.15207676707124257,-0.29183123051191995,-0.2919041962614828,170.75613326485532,45.187126999108,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t1,0.5,24.505,0.35857441034489745,0.1781188676826879,0.1781188676826879,0.49674171537049433,0.5032469743153402,0.1491264145654442,0.002978081365026352,0.15202753758760032,0.15210449593047057,-0.29019484261319717,-0.2902718009560674,170.77750816856178,45.23732809046948,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t1,0.5,24.506,0.3602530245135479,0.17896167104718785,0.17896167104718785,0.4967666025534165,0.5032386538504237,0.14915964459208708,0.0029726240430905573,0.1520512205942404,0.15213226863517765,-0.288564798634109,-0.2886458466750462,170.80105210631973,45.28971081734524,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t1,0.5,24.507,0.3619281074440469,0.1798038549019971,0.1798038549019971,0.4967943942563076,0.5032303392373032,0.14919292081909613,0.002967164347531741,0.15207485108604887,0.15216008516662788,-0.28694113789830955,-0.2870263719788886,170.82672672690117,45.344236850777584,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t1,0.5,24.508,0.3635995456258002,0.18064534894554127,0.18064534894554127,0.4968250128988145,0.5032220304737732,0.1492262432240651,0.0029617022819203045,0.15209842981114272,0.1521879455059854,-0.28532389708415695,-0.2854134127789997,170.85449435461993,45.400868537305264,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t1,0.5,24.509,0.36526722760740943,0.18148608313913897,0.18148608313913897,0.49685838044633146,0.5032137275576275,0.14925961178448235,0.0029562378498296034,0.15212195752126267,0.15221584963431195,-0.2837131103601847,-0.283807002473234,170.88431797771963,45.45956888735073,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t2,0.5,24.51,0.36693104395287185,0.18232598771297154,0.18232598771297154,0.4968944184956704,0.5032054304866568,0.14929302647772963,0.0029507710548362476,0.15214543497172991,0.15224379753256587,-0.28210880951452844,-0.2822071720753644,170.9161612368359,45.520301563682565,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t2,0.5,24.511,0.3685908871990153,0.183164993172062,0.183164993172062,0.49693304835603475,0.5031971392586546,0.14932648728108483,0.002945301900520571,0.1521688629214075,0.1522717891816054,-0.280511024078427,-0.28061395033862485,170.94998841351776,45.58303086993707,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t2,0.5,24.512,0.3702466518139396,0.18400303030217327,0.18400303030217327,0.4969741911255432,0.503188853871415,0.1493599941717211,0.0029398303904667193,0.15219224213265617,0.15229982456218782,-0.2789197814442598,-0.2790273638737914,170.98576441885317,45.64772173924352,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t2,0.5,24.513,0.37189823415663137,0.18484003017570716,0.18484003017570716,0.4970177677634753,0.5031805743227349,0.14939354712670747,0.002934356528260811,0.15221557337129082,0.1523279036549683,-0.27733510697813474,-0.2774474372618122,171.02345478217114,45.71433972292571,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t2,0.5,24.514,0.37354553243751504,0.18567592415750656,0.18567592415750656,0.49706369915845683,0.5031723006104017,0.14942714612300576,0.0029288803174926967,0.1522388574065369,0.15235602644049845,-0.2757570241274787,-0.27587419316144024,171.06302563985932,45.78285097932048,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t3,0.5,24.515,0.3751884466801974,0.1865106439107056,0.1865106439107056,0.4971119061927919,0.5031640327322146,0.14946079113747654,0.002923401761757796,0.15226209501099408,0.15238419289923433,-0.27418555452358856,-0.2743076524118288,171.10444372427995,45.853222262692675,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t3,0.5,24.516,0.37682687868407966,0.18734412140246154,0.18734412140246154,0.49716230980307863,0.5031557706859624,0.14949448214687272,0.002917920864651805,0.15228528696058147,0.15241240301152453,-0.27262071807958044,-0.2727478341305235,171.14767635281285,45.92542091227849,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t3,0.5,24.517,0.3784607319880422,0.18817628890970126,0.18817628890970126,0.49721483103733694,0.5031475144694437,0.1495282191278467,0.002912437629775137,0.15230843403450672,0.15244065675762183,-0.27106253308380146,-0.27119475580691654,171.19269141701062,45.999414841441016,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t3,0.5,24.518,0.38008991183507007,0.18900707902480873,0.18900707902480873,0.49726939110876306,0.5031392640804502,0.1495620020569437,0.002906952060732384,0.152331537015214,0.15246895411767608,-0.269511016288907,-0.26964843339136907,171.23945737188689,46.07517252695707,parallel_dominates
phase_valley_sigma05_t24p5_25p5_w005,s0.5_t3,0.5,24.519,0.38171432513776354,0.1898364246612572,0.1898364246612572,0.49732591144632526,0.5031310195167819,0.14959583091060816,0.0029014641611301564,0.15235459668834517,0.15249729507173831,-0.2679661829969069,-0.26810888138030003,171.28794322533358,46.15266299843595,parallel_dominates
