sigma,t,q_abs,main_base_complex_re,main_base_complex_im,main_seeded_complex_re,main_seeded_complex_im,main_seeded_oriented,seed_complex_re,seed_complex_im,oriented_gain,seed_parallel_to_main,seed_perp_to_main,angle_seed_vs_main,horizontal_defect_total_abs,horizontal_defect_complex_re,horizontal_defect_complex_im,horizontal_defect_complex_abs,horizontal_defect_parallel_to_main,horizontal_defect_perp_to_main,horizontal_defect_parallel_to_seeded_main,horizontal_defect_perp_to_seeded_main,angle_defect_vs_main,angle_defect_vs_seeded_main,defect_j0_abs,defect_j1_abs,defect_j2_abs,defect_j3_abs,defect_j0_parallel,defect_j1_parallel,defect_j2_parallel,defect_j3_parallel,defect_j0_perp,defect_j1_perp,defect_j2_perp,defect_j3_perp,dominant_defect_layer,phase_aware_defect_cost,norm_over_projected_ratio,current_minus_projected_gain,seed_prefix_norm_tax,tilt_tail_upper,vertical_tail,horizontal_tail,cutoff_budget,tail_without_tilt,surplus_current_oriented,surplus_projected_parallel,surplus_projected_phase_aware,failure_class_refined
0.5,11.5,0.35355339059327384,-0.09547567532658158,0.058862423331171414,0.8037929621181363,-0.05963829171706383,0.8060023894440868,0.9932298556477879,0.1879653960218756,0.6938400541461587,0.8276710668307551,0.3710621334626618,155.85231537783963,2.0276582557969203,-1.1707539182023723,0.2386194760627871,1.1948238327647662,0.0,0.41128830818430845,1.1852007267682834,0.15133812675799596,20.13449786935766,172.72328707567496,1.3315787220271498,0.4707841720145572,0.16644734025339372,0.058848021501819656,1.30735071936922,0.034731514803775,0.0,0.009409316481526339,0.2528556693456574,0.4695012870044845,0.007216575965455022,0.05809091493537613,j0,0.39771987985047913,1.7108142190612614,0.8424575290286371,0.9070427232267632,0.024433072158302507,0.003021324532574276,0.032185051679316234,4.933760916097445e-10,0.0352063767052666,-1.2812953152164028,-0.4388377861877657,0.34864306073003853,phase_aware_would_pass
0.5,11.501,0.3535533905932738,-0.09538462538462171,0.05897119688659052,0.8012229941329624,-0.0714047687742248,0.8043984878970681,0.9947554592094838,0.17436511524726375,0.6922564849632804,0.8311873000875537,0.36059782025428544,156.5471310126185,2.0274979543339353,-1.1678356171789215,0.25103942622738107,1.1945127970315954,0.0,0.4005935448726223,1.1855096402869152,0.146382085854226,19.594519086876474,172.96097047631278,1.3314734508274242,0.4707469530249625,0.16643418135342805,0.058843369128120306,1.306222000595204,0.036287508754846196,0.0,0.009296194492359024,0.2580806761835367,0.4693462586307184,0.006779083177893537,0.05810441341506215,j0,0.3961419196278592,1.7102332072502113,0.8419883140470202,0.9060370388670536,0.02441040699590722,0.003021324532574273,0.032182507211649766,4.93373307470368e-10,0.03520383223759735,-1.282713705670372,-0.44072539162335167,0.34864232903570436,phase_aware_would_pass
0.5,11.502,0.3535533905932738,-0.09529347816844892,0.059079844773893296,0.7985229154810342,-0.08313688550293329,0.8028390799403444,0.9961278240770735,0.160750625258632,0.6907173824864262,0.8346021998311635,0.3501035731953932,157.24265421058317,2.027337659405362,-1.1647859303112904,0.2634242929714436,1.1942020857370177,0.0,0.3898688285936664,1.1858024304667107,0.14139030192302618,19.054540217515523,173.20038480532617,1.3313681839188976,0.4707097355525356,0.1664210229898622,0.05883871694406694,1.3050644621230238,0.03785701015377574,0.0,0.009181302281751442,0.26334006693825723,0.4691849336095042,0.006336595925875153,0.0581179688223456,j0,0.394608574803522,1.709675749785264,0.8415352289386513,0.9050598565438639,0.024388495805176266,0.003021324532574273,0.03217996284770418,4.93370942915783e-10,0.035201287873649394,-1.2840883631438433,-0.442553134205192,0.34864072145799674,phase_aware_would_pass
0.5,11.503,0.3535533905932738,-0.09520223378608783,0.059188366975634975,0.7956931399172046,-0.09483325932737809,0.8013244785890131,0.9973468176702129,0.14712359837441663,0.6892230597616702,0.8379155158662515,0.3395803535623753,157.93886175194746,2.0271773710101684,-1.161605273183363,0.27577269084025074,1.1938916984805061,0.0,0.37911512137303494,1.1860785432925447,0.13636376660133406,18.514561261423772,173.4414849545222,1.3312629213008909,0.4706725195970365,0.16640786516261136,0.05883406494962956,1.303877861656836,0.03943961779295895,0.0,0.00906468481406295,0.2686326255535225,0.4690172035780436,0.005889247813398161,0.05813156360978885,j0,0.3931201582449084,1.7091426048250902,0.8410988277176237,0.9041112919629717,0.02436734213678723,0.003021324532574273,0.032177418587463,4.933683064971038e-10,0.03519874361340558,-1.285418978171348,-0.44432015045372436,0.3486382345939119,phase_aware_would_pass
0.5,11.504,0.3535533905932738,-0.09511089234534803,0.05929676347417114,0.792734095743927,-0.10649251252124473,0.7998549879684622,0.9984123255394438,0.13348570811957647,0.6877738209454508,0.8411270070681418,0.32902912468491174,158.63573010972306,2.0270170891473156,-1.1582940759357818,0.28808323923684176,1.1935816348608579,0.0,0.36833338728769127,1.186337435069548,0.13130350044734027,17.97458221874722,173.68422461991375,1.3311576629727226,0.4706353051582246,0.16639470787159036,0.05882941314477807,1.3026619771048313,0.04103492017700563,0.0,0.008946388326748576,0.2739571081325199,0.4688429649546232,0.005437176119938754,0.05814518025482426,j0,0.3916769739268336,1.708634515970141,0.8406796540777675,0.9031914563979937,0.024346949423416402,0.003021324532574273,0.032174874430909786,4.933656997312696e-10,0.035196199456849764,-1.2867052500591194,-0.4460255959813519,0.34863486516136244,phase_aware_would_pass
0.5,11.505,0.3535533905932738,-0.09501945395382522,0.05940503425165759,0.7896462257552611,-0.11811327235995193,0.798430903057431,0.999324251376768,0.11983862902936061,0.6863699610476311,0.8442364413992927,0.31845085186077227,159.3332354583016,2.0268568138157876,-1.1548527832099023,0.30035456257428844,1.1932718944762126,0.0,0.35752459238075784,1.1865785732875158,0.12621055249785484,17.434603089631914,173.9285563207828,1.3310524089337257,0.4705980922358635,0.16638155111671574,0.05882476152948295,1.3014166073411162,0.042642495729406364,0.0,0.008826460314145891,0.2793122436718695,0.4686621192010317,0.004980521742737472,0.05815880128856978,j0,0.39027931667455773,1.7081522112776824,0.8402782405282718,0.9023004566314886,0.024327320978037838,0.003021324532574273,0.03217233037802838,4.933634130922546e-10,0.035193655403966066,-1.2879468871403605,-0.4476686466120887,0.34863061000086937,phase_aware_would_pass
0.5,11.506,0.35355339059327373,-0.09492791871890423,0.05951317929004805,0.7864299871792975,-0.1296941712721849,0.7970525094351116,1.000082517024077,0.10618403645306206,0.6850117656786,0.8472435959249545,0.3078465022705236,160.03135368234763,2.026696545014551,-1.1512818540901324,0.3125852904272933,1.1929624769240348,0.0,0.34668970457615605,1.186801437481345,0.12108599977264875,16.8946238742265,174.1744314206519,1.330947159183221,0.47056088082971353,0.16636839489790264,0.0588201101037142,1.3001415729462908,0.04426191301828605,0.0,0.008704949509095108,0.28469673485066765,0.468474573080757,0.004519429132596893,0.05817240932484373,j0,0.38892747191091165,1.7076964022858359,0.839895107533206,0.9014383948978671,0.02430845999226966,0.00302132453257427,0.032169786428802395,4.933606340881491e-10,0.0351911114547373,-1.2891436070264461,-0.44924849949324025,0.348625466077193,phase_aware_would_pass
0.5,11.507,0.3535533905932738,-0.09483628674775933,0.05962119857109539,0.7830858516189659,-0.1412338469910287,0.7957200830327752,1.0006870624795114,0.09252360635741717,0.683699510800898,0.8501482568281172,0.2972170448919104,160.7300603860116,2.026536282742577,-1.1475817620446722,0.32477405768334666,1.1926533818011251,0.0,0.33582969359298126,1.187005520085317,0.11593094672539347,16.35464457267704,174.42180015017823,1.3308419137205327,0.4705236709395355,0.1663552392150666,0.05881545886744193,1.2988367169243071,0.04589273100125373,0.0,0.008581905862373335,0.290109258874337,0.46828023891219533,0.004054046223156929,0.05818598708930798,j0,0.3876217154079525,1.707267783048657,0.8395307626572603,0.9006053688281934,0.02429036953477026,0.003021324532574273,0.03216724258321552,4.933578489652444e-10,0.035188567609147646,-1.2902951368537199,-0.4507643741964596,0.3486194304809048,phase_aware_would_pass
0.5,11.508,0.3535533905932738,-0.09474455814735662,0.059729092076349764,0.7796143049913156,-0.15273094270415982,0.7944338898904008,1.0011378459016438,0.07885901513027095,0.6824334624858461,0.8529502194235665,0.28656345041434783,161.429330902428,2.02637602699885,-1.1437529948647343,0.3369195046929956,1.1923446087036342,0.0,0.32494553085993305,1.1871903272788382,0.110746524641577,15.814665185130487,174.67061163194597,1.330736672544995,0.470486462565094,0.16634208406812437,0.058810807820636773,1.2975019053932064,0.04753449928910095,0.0,0.008457380519944916,0.2955484683721507,0.4680790348160769,0.0035845243536904324,0.058199517448658686,j0,0.38636231304358704,1.7068670291843697,0.839185699720012,0.8998014713969336,0.02427305254968544,0.003021324532574273,0.0321646988412516,4.933554936946356e-10,0.03518602386718137,-1.2914012135253163,-0.4522155138053043,0.3486125004299469,phase_aware_would_pass
0.5,11.509,0.3535533905932738,-0.09465273302445547,0.05983685978715844,0.7760158474651964,-0.16418410720351545,0.7931941859187713,1.0014348436115568,0.06519193938403259,0.6812138766756419,0.8556492881711883,0.2758866911531633,162.12914030351405,2.026215777782336,-1.1397960546021364,0.34902027741954056,1.1920361572270404,0.0,0.31403818942953043,1.1873553798212813,0.10553389098327806,15.274685711732598,174.920813907161,1.3306314356559277,0.47044925570614887,0.166328929456991,0.0588061569632686,1.2961370282472322,0.04918675842825935,0.0,0.008331425798016764,0.3010129923478204,0.4678708849562981,0.0031110181854142466,0.05821298343978538,j0,0.38514952056371193,1.7064947969388227,0.8388603979610549,0.8990267908707179,0.024256511855148998,0.003021324532574273,0.03216215520289423,4.933529999803956e-10,0.0351834802288215,-1.2924615839475353,-0.4536011859864804,0.3486046732710889,phase_aware_would_pass
