sigma,t,split,main0_abs,rest0_abs,tilt_main_abs,tilt_rest_abs,no_tilt_surplus,tilt_norm_only_surplus,tilt_oriented_surplus,oriented_gain,norm_tax,full0_abs,full_oriented_abs,full_abs_gain,branch_mass,branch_defect,profile_min,profile_max,tilt_factor_min,tilt_factor_max
0.737,13.8,depth,0.06329903313546066,0.0005163008188090759,0.020022034750924973,0.0001514062597711778,0.06278273231665159,0.042609291305955435,0.08262739570875298,0.01984466339210139,0.02017344101069615,0.06373519328670854,0.08385411920778167,0.02011892592107313,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.801,depth,0.06317911690037319,0.00051531810637284,0.01998780625564293,0.00015111818614853859,0.06266379879400034,0.04252487435220888,0.08247453304511228,0.019810734251111933,0.02013892444179147,0.06361367794982153,0.08369790142873927,0.020084223478917737,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.802000000000001,depth,0.06305929971690355,0.0005143361995006943,0.019953611884876123,0.00015083034886139349,0.06254496351740285,0.042440521283665336,0.0823218029250209,0.019776839407618055,0.020104442233737516,0.0634922619098681,0.08354181767685745,0.020049555766989344,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.803,depth,0.0629395824252394,0.0005133551049199863,0.019919451892552984,0.00015054274988239786,0.062426227320319404,0.04235623267788402,0.08216920643750339,0.019742979117183986,0.020069994642435383,0.06337094603411773,0.08338586908565566,0.02001492305153793,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.804,depth,0.06281996587136501,0.0005123748294035591,0.019885326534127983,0.00015025539119753735,0.06230759104196146,0.042272009116635936,0.08201674467886665,0.01970915363690519,0.02003558192532552,0.06324973119558433,0.08323005679592996,0.019980325600345628,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.805000000000001,depth,0.06270045090710304,0.0005113953797701446,0.019851236066589204,0.00014996827480625165,0.06218905552733289,0.04218785118593744,0.08186441875274836,0.019675363225415465,0.020001204341395455,0.06312861827306744,0.08307438195580132,0.019945763682733875,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.806000000000001,depth,0.06258103839014725,0.0005104167628846163,0.019817180748466817,0.00014968140272150074,0.06207062162726264,0.04210375947607432,0.08171222977015791,0.01964160814289527,0.019966862151188317,0.06300760815118425,0.08291884572075568,0.01991123756957143,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.807,depth,0.06246172918410049,0.0005094389856583673,0.01978316083983716,0.00014939477696987945,0.061952290198442124,0.04201973458163509,0.08156017884951756,0.01960788865107544,0.019932555616807037,0.06288670172040692,0.08276344925368512,0.0198767475332782,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.808,depth,0.06234252415850762,0.0005084620550496003,0.019749176602331622,0.000149108399591699,0.06183406210345802,0.041935777101534705,0.08140826711670386,0.01957420501324584,0.01989828500192332,0.06276589987709488,0.08260819372492853,0.019842293847833647,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
0.737,13.809000000000001,depth,0.06222342418889424,0.0005074859780636532,0.019715228299143864,0.0001488222726410893,0.06171593821083059,0.04185188763904563,0.08125649570509283,0.019540557494262242,0.019864050571784954,0.06264520352353274,0.08245308031231643,0.019807876788783693,0.40495050328815474,-0.5950494967118453,0.29315395549429013,0.3047640096216355,1.2931539554942901,1.3047640096216355
