label,box_id,sigma,t,main_abs,D0_abs,Drest_abs,RvecTail_abs,rest_combined,rest_separate,z0_re,z0_im,destructive_ratio,angle_D0_over_M,bounded_surplus_combined,angular_surplus_combined,angular_surplus_separate,failure_class
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.5,0.3501324937050113,0.503288664494151,0.14896095821457997,0.00300533224564912,0.15190830890682225,0.15196629046022908,-1.4185016467979557,-0.23246357498130987,1.4185016467979557,-170.69311531287312,-0.29843933411984425,-0.29843933411984436,-0.29849731567325116,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.501,0.35182698612182167,0.5032803147371313,0.14899395690698203,0.0029998868452594573,0.1519322655795932,0.15199384375224148,-1.411695981038623,-0.23103704631901772,1.411695981038623,-170.70541664851226,-0.2967780217868786,-0.2967780217868785,-0.2968395999595268,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.502,0.3535185473557595,0.5032719708429502,0.14902700191020127,0.002994439053447708,0.1519561660527742,0.15202144096364897,-1.4049764905074291,-0.22956897808014037,1.4049764905074291,-170.72004741219587,-0.29512286669019416,-0.29512286669019405,-0.2951881416010689,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.503,0.3552070529023002,0.5032636328093972,0.1490600932023589,0.0029889888737667696,0.15198001105573594,0.1520490820761257,-1.3983420599556624,-0.2280610078222033,1.3983420599556624,-170.73696643362473,-0.2934739202196182,-0.29347392021961816,-0.29354299124000793,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.504,0.35689238055284084,0.5032553006342615,0.14909323076146938,0.0029835363097731778,0.15200380132167976,0.15207676707124257,-1.3917915786648114,-0.22651471800283693,1.3917915786648114,-170.75613326485526,-0.29183123051191995,-0.29183123051191995,-0.29190419626148273,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.505,0.35857441034489745,0.5032469743153402,0.1491264145654442,0.002978081365026352,0.15202753758760032,0.15210449593047057,-1.3853239412502962,-0.22493163771388783,1.3853239412502962,-170.77750816856172,-0.29019484261319717,-0.29019484261319717,-0.2902718009560674,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.506,0.3602530245135479,0.5032386538504237,0.14915964459208708,0.0029726240430905573,0.1520512205942404,0.15213226863517765,-1.3789380484014082,-0.22331324436909586,1.3789380484014082,-170.8010521063197,-0.288564798634109,-0.2885647986341089,-0.28864584667504617,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.507,0.3619281074440469,0.5032303392373032,0.14919292081909613,0.002967164347531741,0.15207485108604887,0.15216008516662788,-1.3726328075614043,-0.22166096534647933,1.3726328075614043,-170.82672672690111,-0.28694113789830955,-0.28694113789830966,-0.2870263719788887,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.508,0.3635995456258002,0.5032220304737732,0.1492262432240651,0.0029617022819203045,0.15209842981114272,0.1521879455059854,-1.3664071335505015,-0.21997617958517443,1.3664071335505015,-170.85449435461996,-0.28532389708415695,-0.28532389708415695,-0.2854134127789997,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t0,0.5,24.509,0.36526722760740943,0.5032137275576275,0.14925961178448235,0.0029562378498296034,0.15212195752126267,0.15221584963431195,-1.360259949136079,-0.21826021913804128,1.360259949136079,-170.8843179777196,-0.2837131103601847,-0.28371311036018454,-0.28380700247323387,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.51,0.36693104395287185,0.5032054304866568,0.14929302647772963,0.0029507710548362476,0.15214543497172991,0.15224379753256587,-1.3541901855529317,-0.2165143706800753,1.3541901855529317,-170.91616123683585,-0.28210880951452844,-0.28210880951452855,-0.2822071720753645,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.511,0.3685908871990153,0.5031971392586546,0.14932648728108483,0.002945301900520571,0.1521688629214075,0.1522717891816054,-1.3481967829761423,-0.2147398769739467,1.3481967829761423,-170.9499884135177,-0.280511024078427,-0.28051102407842676,-0.2806139503386247,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.512,0.3702466518139396,0.503188853871415,0.1493599941717211,0.0029398303904667193,0.15219224213265617,0.15229982456218782,-1.3422786909502915,-0.2129379382926469,1.3422786909502915,-170.98576441885325,-0.2789197814442598,-0.2789197814442598,-0.27902736387379146,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.513,0.37189823415663137,0.5031805743227349,0.14939354712670747,0.002934356528260811,0.15221557337129082,0.1523279036549683,-1.3364348687768917,-0.21110971380080598,1.3364348687768917,-171.0234547821712,-0.27733510697813474,-0.2773351069781348,-0.2774474372618123,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.514,0.37354553243751504,0.5031723006104017,0.14942714612300576,0.0029288803174926967,0.1522388574065369,0.15235602644049845,-1.3306642858634739,-0.20925632289482843,1.3306642858634739,-171.0630256398594,-0.2757570241274787,-0.27575702412747893,-0.27587419316144046,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.515,0.3751884466801974,0.5031640327322146,0.14946079113747654,0.002923401761757796,0.15226209501099408,0.15238419289923433,-1.3249659220357588,-0.20737884650318406,1.3249659220357588,-171.10444372427992,-0.27418555452358856,-0.27418555452358856,-0.2743076524118288,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.516,0.37682687868407966,0.5031557706859624,0.14949448214687272,0.002917920864651805,0.15228528696058147,0.15241240301152453,-1.3193387678162005,-0.20547832834724278,1.3193387678162005,-171.1476763528128,-0.27262071807958044,-0.2726207180795803,-0.2727478341305234,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.517,0.3784607319880422,0.5031475144694437,0.1495282191278467,0.002912437629775137,0.15230843403450672,0.15244065675762183,-1.3137818246703779,-0.20355577616399453,1.3137818246703779,-171.19269141701062,-0.27106253308380146,-0.27106253308380146,-0.27119475580691654,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.518,0.38008991183507007,0.5031392640804502,0.1495620020569437,0.002906952060732384,0.152331537015214,0.15246895411767608,-1.308294105223555,-0.2016121628911199,1.308294105223555,-171.2394573718868,-0.269511016288907,-0.26951101628890684,-0.2696484333913689,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t1,0.5,24.519,0.38171432513776354,0.5031310195167819,0.14959583091060816,0.0029014641611301564,0.15235459668834517,0.15249729507173831,-1.3028746334496,-0.19964842781557607,1.3028746334496,-171.28794322533355,-0.2679661829969069,-0.2679661829969067,-0.26810888138029987,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t2,0.5,24.52,0.3833338804448559,0.5031227807762237,0.14962970566517608,0.002895973934578893,0.15237761384268933,0.15252567959975497,-1.2975224448334208,-0.19766547768635945,1.2975224448334208,-171.33811852767707,-0.2664280471401251,-0.26642804714012513,-0.26657611289719074,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t2,0.5,24.521,0.38494848790857294,0.5031145478565803,0.14966362629688573,0.0028904813846926925,0.15240058927015018,0.15255410768157843,-1.2922365865093808,-0.1956641877926461,1.2922365865093808,-171.38995336136662,-0.26489662135849923,-0.2648966213584992,-0.2650501397699274,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t2,0.5,24.522,0.38655805925281456,0.5031063207556412,0.14969759278186684,0.002884986515088777,0.152423523765689,0.15258257929695562,-1.2870161173770258,-0.1936454030078494,1.2870161173770258,-171.44341833081225,-0.26337191707323004,-0.2633719170732301,-0.26353097260449676,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t2,0.5,24.523,0.38816250774229993,0.503098099471201,0.14973160509614827,0.002879489329387591,0.1524464181272892,0.15261109442553586,-1.2818601081953884,-0.19160993880065355,1.2818601081953884,-171.498484552365,-0.26185394455692707,-0.2618539445569272,-0.2620186208551738,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t2,0.5,24.524,0.3897617481523987,0.5030898840010575,0.1497656632156555,0.0028739898312141114,0.15246927315590983,0.1526396530468696,-1.2767676416580012,-0.189558582214085,1.2767676416580012,-171.5551236444381,-0.260342713000549,-0.260342713000549,-0.2605130928915088,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t2,0.5,24.525,0.3913556967399054,0.5030816743430065,0.14979976711621112,0.0028684880241946313,0.15249208965543784,0.15266825514040575,-1.2717378124491399,-0.18749209281299622,1.2717378124491399,-171.61330771778708,-0.2588382305770487,-0.2588382305770487,-0.2590143960620166,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t2,0.5,24.526,0.3929442712144914,0.5030734704948434,0.1498339167735342,0.0028629839119597845,0.15251486843264597,0.15269690068549396,-1.2667697272833713,-0.18541120360138297,1.2667697272833713,-171.67300936593068,-0.25734050450209867,-0.25734050450209894,-0.25752253675494696,lambda_ge_one
angular_phase_valley_sigma05_t24p5_25p5,s0.5_t2,0.5,24.527,0.39452739071095866,0.503065272454361,0.14986811216324075,0.002857477498144996,0.15253761029714827,0.15272558966138575,-1.2618625049291605,-0.18331662191009634,1.2618625049291605,-171.73420165572344,-0.2558495410918855,-0.2558495410918855,-0.256037520456123,lambda_ge_one
