mode,X,p,K,M,check_K,check_M,t_count,max_ref_delta,p95_ref_delta,median_ref_delta,worst_ref_t,max_total_delta,max_total_ratio,min_quarter_surplus_ratio,worst_total_t,max_external_ratio,max_lower_factor_ratio,max_cutoff_pressure_ratio,max_central_abs,passes_ref,passes_total_delta
exponential,5000.0,1,10,2001,11,3001,197,0.3654724646187633,0.3146773856290834,0.04654234340640318,1.0,31.224275304719672,424.5136824272811,-423.7636824272811,1.0,265.96022903419237,158.5534533930887,107.84488063021452,3.3183118484192926,False,False
exponential,5000.0,1,11,3001,12,4001,197,0.13528491415902213,0.1259898277714366,0.026805231075036455,1.0,16.59628816601913,415.7727891469473,-415.0227891469473,1.0,260.2333514686328,155.53943767831444,104.58260750623354,3.266588051819472,False,False
exponential,5000.0,1,12,4001,13,6001,197,0.07408335468766201,0.06837346957095122,0.014873966988358769,1.0,9.578784849662014,408.16165195614633,-407.41165195614633,1.0,255.38748513439495,152.7741668217514,102.25418430371657,3.2137553479989167,False,False
exponential,5000.0,1,13,6001,14,8001,197,0.012483690256637796,0.012038788793052911,0.0029923428080440803,1.0,1.6408878358155334,401.70407735968683,-400.95407735968683,1.0,251.31321505492224,150.3908623047646,100.40221705065616,3.167116651160843,False,False
exponential,5000.0,1,14,8001,15,10001,197,0.0022116987912545938,0.002166329868851456,0.0005967156357223209,1.0,0.2860006896299865,400.2592833302198,-399.5092833302198,1.0,250.40681597907806,149.8524673511417,100.00412552997459,3.1564489772129125,False,False
exponential,5000.0,1,15,10001,16,12001,197,0.0004028107242993271,0.00039738359157789503,0.0001669143742263098,1.0,0.05336629708460805,399.97509679808866,-399.22509679808866,1.0,250.2290686901837,149.74602810790492,99.9274844466499,3.1543270964260244,False,False
exponential,5000.0,1,16,12001,17,16001,197,8.856810880263336e-05,8.640525621664653e-05,3.367481229141785e-05,1.0,0.011609963716750826,399.92173050100405,-399.17173050100405,1.0,250.1957610822178,149.7259694187862,99.91331056718242,3.153925543517836,True,False
exponential,5000.0,1,17,16001,18,24001,197,3.273418798115047e-06,3.2000702332401605e-06,1.5575899927871793e-06,1.0,0.00042624580210315344,399.9101205372873,-399.1601205372873,1.0,250.18852915329447,149.7215913839928,99.91027079244725,3.1538375642352854,True,True
exponential,5000.0,1,18,24001,20,32001,197,4.4959442669906e-09,4.446326994084466e-09,2.8172957844655747e-09,1.0,5.641103371090139e-07,399.9097255722959,-399.1597255722959,1.0,250.18828387638044,149.72144169591542,99.91016968909491,3.153834538514866,True,True
exponential,10661.0,1,10,2001,11,3001,197,1.102304630605899,0.8290952932292014,0.13165508732602907,1.0,49.97766433759236,595.9257725755793,-595.1757725755793,1.0,372.01293215114094,223.91284042443843,150.461531012678,4.649622233720869,False,False
exponential,10661.0,1,11,3001,12,4001,197,0.6176434390605386,0.51515359890049,0.1127315143875723,1.0,38.10438301602671,622.7638895263109,-622.0138895263109,1.0,388.19618619880595,234.56770332750497,156.33398563921895,4.8660113966399186,False,False
exponential,10661.0,1,12,4001,13,6001,197,0.5862345631758881,0.4998760183518238,0.07400158183839946,1.0,39.141214159193396,626.7542873602581,-626.0042873602581,1.0,390.38992351177643,236.36436384848167,156.91802537031487,4.899793560182064,False,False
exponential,10661.0,1,13,6001,14,8001,197,0.2276988555745489,0.2107186943309101,0.04479238213075192,1.0,25.844485892936433,616.3956532083968,-615.6456532083968,1.0,383.6610232825248,232.73462992587196,153.87410166234602,4.822458239005793,False,False
exponential,10661.0,1,14,8001,15,10001,197,0.09359359912495471,0.08980076384690128,0.020265479033487025,1.0,12.093326405746524,605.182925536398,-604.432925536398,1.0,376.57005718218704,228.61286835421097,150.829116648358,4.737546640525091,False,False
exponential,10661.0,1,15,10001,16,12001,197,0.03971788393517297,0.038781617094256024,0.013389698334851796,1.0,5.221740518400054,598.1937462132785,-597.4437462132785,1.0,372.17408077678647,226.01966543649206,148.9544156917986,4.684633509197432,False,False
exponential,10661.0,1,16,12001,17,16001,197,0.02468531202960019,0.023771366812023895,0.005739690437168603,1.0,3.2309370897269787,594.4633320271998,-593.7133320271998,1.0,369.8334841541338,224.62984787306598,147.95807886511167,4.656421996189158,False,False
exponential,10661.0,1,17,16001,18,24001,197,0.005782895151837339,0.005487030937322856,0.0015728767020934105,1.0,0.7512654902941449,591.7189585412466,-590.9689585412466,1.0,368.1146459795391,223.60431256170756,147.227004769446,4.635692134859195,False,False
exponential,10661.0,1,18,24001,20,32001,197,0.00023970638506549155,0.0002335798388870265,8.655921788958925e-05,1.0,0.03170620669800428,590.9822504996457,-590.2322504996457,1.0,367.65409795538505,223.32815254426066,147.03123783199416,4.6301352662432755,False,False
