sigma,t,q_abs,main_base,seed_complex_re,seed_complex_im,seed_abs,prefix_abs,seed_prefix_norm_tax,main_seeded_oriented,oriented_gain,tail_without_tilt,tilt_tail_upper,vertical_tail,horizontal_tail,horizontal_defect,cutoff_budget,defect_total,surplus_no_tilt,surplus_tilt_norm_only,surplus_tilt_oriented,norm_tax,net_oriented_gain,failure_class
0.5,47.5,0.35355339059327384,0.11840463091466136,-0.03573034566415353,0.5366689893138539,0.5378571015543379,0.9472370473172905,0.5094781727549671,0.5163292572572282,0.39792462634256687,0.009572090600713951,0.013000326847563312,0.003021324532574276,0.006550765723192155,0.41269824056110516,3.449475200236871e-10,0.41269824056110516,-0.30386570024715776,-0.8263441998496882,0.0810585992478458,0.5224784996025305,-0.12455387325996359,pass
0.5,47.501,0.3535533905932738,0.11837655397750481,-0.03195482002937571,0.5368022669894092,0.5377525307872375,0.9470124318200385,0.5092583318982019,0.5154529486522937,0.39707639467478895,0.009572172202331296,0.012997799309771059,0.003021324532574273,0.006550847324813626,0.4127033814632583,3.449433960651484e-10,0.4127033814632583,-0.3038989996880848,-0.8261551308960577,0.08017959567693309,0.522256131207973,-0.12517973653318404,pass
0.5,47.502,0.35355339059327384,0.11834850884820815,-0.02817604908874082,0.536901420524009,0.5376402376152197,0.9467880707856647,0.5090313633484602,0.5145688331676402,0.3962203243194321,0.009572253834052868,0.012995085116847405,0.003021324532574276,0.006550928956539571,0.41270852426199245,3.4493902202318884e-10,0.41270852426199245,-0.3039322692478372,-0.8259587177131449,0.07929296995474751,0.5220264484653077,-0.12580612414587555,pass
0.5,47.503,0.3535533905932738,0.11832049552153648,-0.024394378024174934,0.536966404701983,0.5375202372541522,0.9465639641722919,0.5087972865981212,0.5136769471878396,0.3953564516663032,0.009572335495857173,0.012992184636568907,0.003021324532574273,0.006551010618347865,0.4127136689559154,3.4493503495258126e-10,0.4127136689559154,-0.30396550893023605,-0.8257549801649262,0.07839875809949816,0.5217894712346901,-0.12643301956838693,pass
0.5,47.504,0.3535533905932738,0.1182925139921367,-0.020610152541513712,0.5369971779444297,0.5373925450804709,0.9463401119370933,0.5085561212656122,0.5127773273032022,0.39448481331106555,0.009572417187721794,0.012989098240593216,0.003021324532574273,0.006551092310216691,0.4127188155436516,3.449308309743203e-10,0.4127188155436516,-0.3039987187392367,-0.8255439382454421,0.07749699633123565,0.5215452195062055,-0.12706040619513992,pass
0.5,47.505,0.3535533905932738,0.11826456425453842,-0.016823718831746933,0.5369937023149229,0.5372571766307248,0.9461165140363074,0.50830788709485,0.5118700103095565,0.39360544605501807,0.009572498909625334,0.012985826304447983,0.003021324532574273,0.006551174032124085,0.4127239640238173,3.4492697558512015e-10,0.4127239640238173,-0.30403189867890423,-0.8253256120782022,0.07658772107166588,0.521293713399298,-0.1276882673442799,pass
0.5,47.506,0.35355339059327384,0.11823664630315397,-0.013035423532190801,0.5369559435247583,0.5371141476010728,0.9458931704252317,0.5080526039546246,0.5109550332080028,0.39271838690484884,0.00957258066154531,0.01298236920751873,0.003021324532574276,0.006551255784048149,0.41272911439503296,3.449228858390002e-10,0.41272911439503296,-0.3040650487534243,-0.8251000219155676,0.07567096894390583,0.5210349731621433,-0.12831658625729447,pass
0.5,47.507,0.3535533905932738,0.11820876013227745,-0.009245613687307202,0.5368838709379039,0.5369634738468928,0.9456700810582195,0.5077902918380942,0.5100324332047144,0.39182367307243693,0.009572662443459936,0.012978727333039368,0.003021324532574273,0.006551337565966869,0.41273426665591256,3.449187949765331e-10,0.41273426665591256,-0.3040981689670951,-0.8248671881382287,0.0747467767723025,0.5207690191711336,-0.12894534609869668,pass
0.5,47.508,0.35355339059327373,0.11818090573608549,-0.005454636709832975,0.5367774575753014,0.5368051713821698,0.9454472458886838,0.5075209708620753,0.5091022477106285,0.39092134197454304,0.009572744255347009,0.012974901068077482,0.00302132453257427,0.006551419377858239,0.4127394208050693,3.4491450015521635e-10,0.4127394208050693,-0.3041312593243308,-0.8246271312544836,0.0738151815821347,0.5204958719301528,-0.12957452995560975,pass
0.5,47.509,0.35355339059327373,0.11815308310863792,-0.001662840341758989,0.5366366801190947,0.5366392563792234,0.9452246648691036,0.5072446612666563,0.5081645143414388,0.3900114312328009,0.009572826097184949,0.01297089080352769,0.00302132453257427,0.006551501219700312,0.41274457684112004,3.4491036591728966e-10,0.41274457684112004,-0.3041643198296671,-0.8243798718998511,0.07287622059960616,0.520215552070184,-0.13020412083738309,pass
