t,sigma,r,residual_margin,cleared_margin,external_ratio,lower_factor_ratio,total_ratio,quarter_surplus_ratio,defect_anchor_ratio,defect_anchor_surplus_ratio,genuine_ratio,continued_ratio,horizontal_pressure_ratio,cutoff_pressure_ratio,canonical_closed_ratio,anchor_allowance,defect_upper,continued_anchor_abs,defect_allowance,factorization_error,direct_abs,bracket_abs,rectangular_abs,central_ref_abs,cutoff_budget,horizontal_upper,lower_factor_upper,tail_gap_budget,central_ref_delta
1.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,294.63692439599816,300.34140464556833,594.9783290415664,-594.2283290415664,143.4407298035024,-142.4407298035024,147.31846218904457,147.31846218904457,0.0,1.7909035127648053e-08,682.7863915775802,0.041973303951661746,0.0,6.020681351090592,0.041973303951661746,2.0802344535365196e-13,16.08076615489407,0.01778493199049863,6.183442702353961,6.183442701891648,5.087339814614713e-10,0.0,65.1945092516029,7.099466208315358,5.087339814614713e-10
1.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,221.79306196750017,234.9485086531033,456.74157062060345,-455.99157062060345,112.20958890818636,-111.20958890818636,110.89653097479646,110.89653097479646,0.0,1.7907279746175555e-08,521.5586251366204,0.04197330395173542,0.0,4.709807181542586,0.04197330395173542,1.1252755273248258e-13,12.366548231410885,0.022238321485774235,4.654693885657939,4.6546938851510795,5.086841171220962e-10,0.0,50.99980383694013,5.950735074493788,5.086841171220962e-10
1.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,166.84022973248526,180.01940139119193,346.8596311236772,-346.1096311236772,85.9758725064959,-84.9758725064959,83.42011485729029,83.42011485729029,0.0,1.7904661912052832e-08,410.7549305040663,0.04197330395184531,0.0,3.608691429240253,0.04197330395184531,4.533191655005043e-14,10.017275415087218,0.027265872451849842,3.5014178997485725,3.5014178992945952,5.086097534745536e-10,0.0,39.076452157224246,4.88855172110157,5.086097534745536e-10
1.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,142.29901496106913,143.06584599942425,285.3648609604934,-284.6148609604934,68.32714052253527,-67.32714052253527,71.14950747158393,71.14950747158393,0.0,1.7901261700411153e-08,336.37905065363464,0.04197330395198803,0.0,2.8679158373225713,0.04197330395198803,5.762902403286438e-14,7.919913158259651,0.032902547127750835,2.986379956924542,2.9863799565990043,5.085131651774201e-10,0.0,31.05501764435291,4.1555139967512815,5.085131651774201e-10
2.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,108.3602849427674,112.59095713152921,220.9512420742966,-220.2012420742966,53.77256951665894,-52.77256951665894,54.18014246243496,54.18014246243496,0.0,1.7897481771954983e-08,273.77897972571185,0.04197330395214668,0.0,2.2570124046106628,0.04197330395214668,3.447988816650427e-14,6.710610571616589,0.03919393856421559,2.2741196285533056,2.274119628447406,5.08405790433921e-10,0.0,24.439894342974718,3.483157572365733,5.08405790433921e-10
2.25,0.5,0.35355339059327373,0.0878852299152466,0.03672664161544273,79.42281488491713,88.68599659733711,168.10881148225423,-167.35881148225423,42.35574542271062,-41.35574542271062,39.711407433512136,39.711407433512136,0.0,1.789284511997163e-08,219.8233475597961,0.04197330395234128,0.0,1.7778105767554206,0.04197330395234128,1.0807552126620295e-13,5.6535205705374505,0.04618899836325629,1.6668190043762123,1.6668190044062041,5.082740791269001e-10,0.0,19.25089227199907,2.9066516564188634,5.082740791269001e-10
2.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,74.83508520511627,74.33580736195712,149.1708925670734,-148.4208925670734,35.50220613401328,-34.50220613401328,37.41754259361419,37.41754259361419,0.0,1.7887874168239465e-08,193.41387322381104,0.041973303952549945,0.0,1.4901448890490225,0.041973303952549945,6.703982243614917e-14,4.729842052592839,0.05393677869472064,1.5705379163322386,1.570537916532837,5.081328715158631e-10,0.0,16.135925336380335,2.5659557949394203,5.081328715158631e-10
2.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,56.17979173416086,56.5641445923201,112.74393632648096,-111.99393632648096,27.01459757235317,-26.01459757235317,28.089895858139343,28.089895858139343,0.0,1.788217699851108e-08,165.14735502542086,0.041973303952789066,0.0,1.1338919150666573,0.041973303952789066,8.17570526937214e-14,4.317879273158563,0.06248469407171797,1.1790257575275582,1.1790257579394208,5.079710345537753e-10,0.0,12.278265969638193,2.043822539728101,5.079710345537753e-10
3.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,37.169347499341775,43.94351930058792,81.11286679992969,-80.36286679992969,20.9870846340402,-19.9870846340402,18.584673740732836,18.584673740732836,0.0,1.7876104928376966e-08,130.24164804403603,0.04197330395304393,0.0,0.8808972824328272,0.04197330395304393,1.4238583238573986e-14,3.6413105230903353,0.0718767375381504,0.780060173289035,0.7800601737323708,5.077985479628995e-10,0.0,9.538732027210829,1.6517955036101164,5.077985479628995e-10
3.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,42.35848346605461,41.13519739255994,83.49368085861454,-82.74368085861454,19.64585183094828,-18.64585183094828,21.179241724092634,21.179241724092634,0.0,1.7869341518855354e-08,128.0979262338642,0.04197330395332781,0.0,0.8246013103224339,0.04197330395332781,1.0250864201615631e-13,3.3232512059643975,0.08215178084829108,0.8889627657751015,0.888962766271522,5.076064228020711e-10,0.0,8.929135195796691,1.5986593851385977,5.076064228020711e-10
3.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,30.844823461291526,29.372108590095063,60.21693205138659,-59.46693205138659,14.02789168148869,-13.02789168148869,15.422411721714594,15.422411721714594,0.0,1.7862333697096408e-08,111.15372403210479,0.04197330395362196,0.0,0.5887969613756099,0.04197330395362196,2.949518040356843e-14,3.084123713169896,0.09334147130359673,0.647329586009833,0.6473295864562459,5.074073547317148e-10,0.0,6.375744987527788,1.1730379751406432,5.074073547317148e-10
3.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,15.409159653998405,20.702798495654136,36.11195814965254,-35.36195814965254,9.887496292874683,-8.887496292874683,7.704579818071902,7.704579818071902,0.0,1.7854601026405076e-08,85.48564573718573,0.04197330395394652,0.0,0.41501088724434854,0.04197330395394652,2.9899647937615514e-14,2.642509350572745,0.10546758276029597,0.32338667583187636,0.32338667631531404,5.071876962006945e-10,0.0,4.493915148501686,0.8445636008292455,5.071876962006945e-10
4.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,26.57603758335626,24.604051915575862,51.18008949893212,-50.43008949893212,11.750704724968346,-10.750704724968346,13.288018782754943,13.288018782754943,0.0,1.7846371564103547e-08,96.60877437317376,0.04197330395429194,0.0,0.4932159010982308,0.04197330395429194,3.7274405016317926e-14,2.6276012511809665,0.11853937973067195,0.5577420608584744,0.5577420612725857,5.069539255317499e-10,0.0,5.340752441808216,1.0192103434055297,5.069539255317499e-10
4.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,19.046406569360748,16.407685705409932,35.45409227477068,-34.70409227477068,7.836183674308168,-6.836183674308168,9.52320327576157,9.52320327576157,0.0,1.783760657733441e-08,83.09318358111999,0.041973303954659834,0.0,0.32891051920627984,0.041973303954659834,1.389687052394959e-14,2.362339810484311,0.13255030672056375,0.39972031288227133,0.3997203128456064,5.067049424578578e-10,0.0,3.5615835877876325,0.6861428362916857,5.067049424578578e-10
4.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,4.696651975030815,8.296532955021016,12.993184930051832,-12.243184930051832,3.9623599124315154,-2.9623599124315154,2.3483259786012454,2.3483259786012454,0.0,1.7828324530478586e-08,64.57848406852855,0.04197330395504943,0.0,0.16631333698379105,0.04197330395504943,7.249910561563039e-14,2.1725989862283632,0.1474746288493343,0.09856700139729893,0.09856700184265348,5.064412714884607e-10,0.0,1.8009118494023364,0.3482160009770958,5.064412714884607e-10
4.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,19.339980259568858,16.492748571644526,35.83272883121339,-35.08272883121339,7.876809040565347,-6.876809040565347,9.669990120875152,9.669990120875152,0.0,1.781855355893728e-08,80.87201669650771,0.041973303955459555,0.0,0.33061570005876106,0.041973303955459555,3.04743580846494e-14,2.2260739826306444,0.1632641621768424,0.4058814417024272,0.4058814418220041,5.061637118533645e-10,0.0,3.5800480143832383,0.6907362893182092,5.061637118533645e-10
5.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,14.69294621821402,11.214713858142122,25.907660076356144,-25.157660076356144,5.3560605208111856,-4.3560605208111856,7.346473100202924,7.346473100202924,0.0,1.7808172220885647e-08,70.08297856462553,0.04197330395589529,0.0,0.2248115562461787,0.04197330395589529,3.8929586852346124e-14,1.95169321708014,0.1798447185460451,0.30835575440499474,0.30835575392987813,5.058688138087595e-10,0.0,2.4343555536125248,0.46596412775384316,5.058688138087595e-10
5.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,5.927411241444939,3.225982978941977,9.153394220386916,-8.403394220386916,1.5407044970290273,-0.5407044970290273,2.963705611823785,2.963705611823785,0.0,1.7797369208607985e-08,62.508503678368854,0.041973303956348726,0.0,0.06466845816071275,0.041973303956348726,1.6255196873434252e-14,1.9844171717566705,0.19711349196830052,0.12439651819790798,0.12439651869614698,5.055619374522937e-10,0.0,0.7002576864629759,0.13220059708342746,5.055619374522937e-10
5.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,16.559689133597647,12.809176692229348,29.368865825826994,-28.618865825826994,6.117563626825446,-5.117563626825446,8.279844557905808,8.279844557905808,0.0,1.7786032932744147e-08,73.1996676992221,0.04197330395682455,0.0,0.25677435758395845,0.04197330395682455,1.8894678177176877e-14,1.969065164961516,0.21493714418588236,0.34753243872909284,0.34753243852546345,5.05239912914732e-10,0.0,2.7804624186014126,0.5146777283495431,5.05239912914732e-10
5.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,14.09643691482353,10.092696450327582,24.18913336515111,-23.43913336515111,4.820193692686145,-3.8201936926861446,7.048218448524644,7.048218448524644,0.0,1.777424190927789e-08,66.94428264447731,0.04197330395731946,0.0,0.2023194549962697,0.04197330395731946,6.75322301446426e-15,1.7916826648857205,0.2331512972615171,0.2958370209517784,0.29583702055579025,5.049049705646423e-10,0.0,2.1908014743454722,0.3952443519178773,5.049049705646423e-10
6.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,9.927457709742242,5.335076760143474,15.262534469885717,-14.512534469885717,2.5479913594434933,-1.5479913594434933,4.963728845990208,4.963728845990208,0.0,1.7761824877117255e-08,66.43442550201355,0.041973303957840644,0.0,0.10694761581187334,0.041973303957840644,5.400071037906777e-14,1.9268564326265105,0.25156297480141854,0.20834410283287522,0.20834410331762007,5.045522454644908e-10,0.0,1.1580744639842235,0.20239828070698745,5.045522454644908e-10
6.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,15.915894100182719,11.372048043311588,27.287942143494305,-26.537942143494305,5.431202109336065,-4.431202109336065,7.957947041216886,7.957947041216886,0.0,1.7748946761755167e-08,70.80393256364863,0.041973303958381177,0.0,0.22796549699456367,0.041973303958381177,2.0807427796300306e-14,1.8405116372285966,0.26995595618780605,0.3340213364088117,0.33402133597422345,5.041864225792724e-10,0.0,2.468507771162179,0.41537571244225513,5.041864225792724e-10
