label,source_box_id,sigma_min,sigma_max,t_min,t_max,d0_neg_re_upper,d0_neg_re_lower,certified_nondestructive,mainNormLowerConst,restUpperCombinedConst,restUpperSeparateConst,sectorBudgetCombined,sectorBudgetSeparate,certified_sector_combined,certified_sector_separate,status,mode,interval_dps,subdiv_sigma,subdiv_t,inflate,main_center_abs,main_radius,scout_budget_combined,scout_budget_separate,notes
sector_positive_box_fast_sub8,s0.84_t0,0.84,0.84,32.82,32.824,4.932331076515e-05,-0.0007553234569403128,False,0.055948109141748074,0.009564747009115212,0.009569664294255513,0.04638336213263286,0.04637844484749256,False,False,fail_nondestructive,fast,50,1,8,1e-12,0.06587724226405628,0.01397166766806858,0.06275575209766036,0.0627403274431481,
sector_positive_box_fast_sub8,s0.84_t1,0.84,0.84,32.825,32.829,1.0863915647200477e-05,-0.0007917067790454321,False,0.055214852713050926,0.009538753596760539,0.009549648950340679,0.045676099116290385,0.045665203762710244,False,False,fail_nondestructive,fast,50,1,8,1e-12,0.06514990695545957,0.013963977915055605,0.06202601199915288,0.062014931712766404,
sector_positive_box_fast_sub8,s0.84_t2,0.84,0.84,32.83,32.834,-2.659813280876825e-05,-0.0008261930283694741,True,0.054499061832326424,0.009505915459649685,0.00952507510902585,0.04499314637267674,0.04497398672330057,True,True,certified_sector_combined_and_separate,fast,50,1,8,1e-12,0.06444228223361133,0.013954895200720492,0.061316751067018144,0.061309282163741506,
sector_positive_box_fast_sub8,s0.84_t3,0.84,0.84,32.835,32.839,-6.294469180160035e-05,-0.0008587104599523167,True,0.0538008644456791,0.009466110068572418,0.009495764740580068,0.04433475437710668,0.044305099705099035,True,True,certified_sector_combined_and_separate,fast,50,1,8,1e-12,0.0637565095723684,0.013944096731924992,0.06063011201907159,0.06062551807669913,
sector_positive_box_fast_sub8,s0.84_t4,0.84,0.84,32.84,32.844,-9.808046166891465e-05,-0.0008891241576482039,True,0.05312316260364609,0.009419938492320085,0.009462318711723858,0.04370322411132601,0.043660843891922235,True,True,certified_sector_combined_and_separate,fast,50,1,8,1e-12,0.0630947654174413,0.013932667544452723,0.059968264550258166,0.059965806333122276,
sector_positive_box_fast_sub8,s0.84_t5,0.84,0.84,32.845,32.849000000000004,-0.00013192168045132648,-0.0009173420987205516,True,0.05246816463564666,0.009367361902509768,0.009424753835108273,0.04310080273313689,0.04304341080053838,True,True,certified_sector_combined_and_separate,fast,50,1,8,1e-12,0.06245923477836404,0.013920658454731845,0.0593333954426834,0.05933233152791756,
sector_positive_box_fast_sub8,s0.84_t6,0.84,0.84,32.85,32.854,-0.00016438092811527332,-0.0009432964686699925,True,0.05183631819642877,0.009308037589825189,0.009382794528048096,0.04252828060660358,0.04245352366838067,True,True,certified_sector_combined_and_separate,fast,50,1,8,1e-12,0.06185210198186839,0.013907339690772362,0.05872765779350421,0.05872728467549246,
sector_positive_box_fast_sub8,s0.84_t7,0.84,0.84,32.855,32.859,-0.00019537297590323387,-0.0009668541908189233,True,0.0512304176890232,0.009242234468723666,0.009336474600565758,0.041988183220299534,0.04189394308845744,True,True,certified_sector_combined_and_separate,fast,50,1,8,1e-12,0.06127555446355502,0.013892600600321707,0.05815285327628608,0.05815285049463522,
sector_positive_box_fast_sub8,s0.84_t8,0.84,0.84,32.86,32.86,-0.0005509560113868428,-0.0005509561311443684,True,0.06113582348876163,0.0030933849308432274,0.003093695894607568,0.0580424385579184,0.05804212759415406,True,True,certified_sector_combined_and_separate,fast,50,1,8,1e-12,0.06113582522850118,2.2646331416640866e-09,0.05804244116645989,0.058042130215292864,
sector_positive_box_fast_sub8,s0.85_t0,0.85,0.85,32.82,32.824,2.0642638337700725e-05,-0.0006915386060201304,False,0.05704694679504385,0.008796160233054105,0.008800485231309815,0.04825078656198975,0.048246461563734036,False,False,fail_nondestructive,fast,50,1,8,1e-12,0.06636607584524648,0.012978305574623338,0.06354434846762408,0.0635301187377978,
