t,sigma,r,residual_margin,cleared_margin,external_ratio,lower_factor_ratio,total_ratio,quarter_surplus_ratio,genuine_ratio,continued_ratio,horizontal_pressure_ratio,cutoff_pressure_ratio,canonical_closed_ratio,factorization_error,direct_abs,bracket_abs,rectangular_abs,central_ref_abs,cutoff_budget,horizontal_upper,lower_factor_upper,tail_gap_budget,central_ref_delta
1.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,496.9257644249706,300.34140466859594,797.2671690935665,-796.5171690935665,147.31846220005903,147.31846220005903,0.0,202.28884002485256,375.5856015018907,7.850462293418876e-17,0.441907099546099,0.018009447595492434,0.45363025888277936,6.183442702353961,5.746328948352503,0.0,65.19450925660145,7.0994662088596865,5.087339814614713e-10
1.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,384.55319665391744,234.9485086784417,619.5017053323592,-618.7517053323592,110.89653098687221,110.89653098687221,0.0,162.76013468017302,288.33125423272486,1.1102230246251565e-16,0.3685760520575613,0.02276089719050023,0.38795791174232847,4.654693885657939,4.6234546277269954,0.0,50.999803842440286,5.9507350751355546,5.086841171220962e-10
1.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,301.24051979033607,180.01940141352762,481.25992120386366,-480.50992120386366,83.42011486810614,83.42011486810614,0.0,134.4002900541238,222.56882200933964,6.206335383118183e-17,0.2943364491536096,0.028036795494362998,0.3211010441784653,3.5014178997485725,3.8178491572253868,0.0,39.076452162072606,4.888551721708111,5.086097534745536e-10
1.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,243.45811706924303,143.065846015251,386.523963084494,-385.773963084494,71.14950747933976,71.14950747933976,0.0,101.15910211056348,185.74523516757802,8.886119947416683e-17,0.22402982133806917,0.033786573205775654,0.25761387175530814,2.986379956924542,2.873581541996394,0.0,31.055017647788382,4.155513997210987,5.085131651774201e-10
2.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,183.5604654268002,112.5909571381626,296.1514225649628,-295.4014225649628,54.18014246495798,54.18014246495798,0.0,75.20018049688423,142.0551691816617,8.326672684688674e-17,0.16070063283500993,0.03999817275038453,0.20068845458593632,2.2741196285533056,2.1361780217707,0.0,24.439894344414615,3.4831575725709465,5.08405790433921e-10
2.25,0.5,0.35355339059327373,0.0878852299152466,0.03672664161544273,143.34890755801183,88.68599659524087,232.03490415325268,-231.28490415325268,39.71140743279759,39.71140743279759,0.0,63.926092692416645,108.324703261226,1.0007415106216802e-16,0.1057671785728118,0.046706485104181475,0.1523402174032706,1.6668190043762123,1.8159200327035776,0.0,19.250892271544043,2.9066516563501597,5.082740791269001e-10
2.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,128.72175329919003,74.33580735077024,203.05756064996027,-202.30756064996027,37.417542588835005,37.417542588835005,0.0,53.88666812152001,99.5929263806541,5.721958498152797e-17,0.06074198980451542,0.05399468421310875,0.1147326832608296,1.5705379163322386,1.5307345720056122,0.0,16.13592533395202,2.565955794553267,5.081328715158631e-10
2.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,95.87769053294784,56.56414457309444,152.44183510604228,-151.69183510604228,28.089895848326858,28.089895848326858,0.0,39.69789883629413,75.9347716403604,1.1443916996305594e-16,0.03525958294343258,0.061985960376058066,0.09246000047335928,1.1790257575275582,1.1276805247572748,0.0,12.278265965464918,2.0438225390334233,5.079710345537753e-10
3.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,67.5596946203139,43.943519278158064,111.50321389847197,-110.75321389847197,18.584673730170504,18.584673730170504,0.0,30.390347159972897,54.42520224869212,6.397344083151129e-17,0.04779562961197036,0.07082660115314472,0.09109187258453841,0.780060173289035,0.863285051287949,0.0,9.538732022342025,1.6517955027669993,5.077985479628995e-10
3.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,70.12447927097504,41.135197367424084,111.25967663839913,-110.50967663839913,21.17924171226558,21.17924171226558,0.0,27.765995846443882,59.629440799097566,1.1210126175528405e-16,0.07419625011901043,0.08066380495258119,0.10767988589944197,0.8889627657751015,0.7887362728099767,0.0,8.929135190340501,1.598659384161729,5.076064228020711e-10
3.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,53.53141857756532,29.37210856649493,82.90352714406025,-82.15352714406025,15.422411711078958,15.422411711078958,0.0,22.686595155407417,47.312786272212804,1.6711069443220838e-16,0.09844376717687037,0.09162291466538726,0.13258676238057,0.647329586009833,0.6444480005177503,0.0,6.375744982404955,1.1730379741981218,5.074073547317148e-10
3.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,30.885251492626622,20.702798472120104,51.58804996474673,-50.83804996474673,7.70457980655416,7.70457980655416,0.0,15.476091879518302,30.29151678990614,7.850462293418876e-17,0.11754824108912305,0.10378842785089128,0.15907488546840964,0.32338667583187636,0.4396224466150153,0.0,4.493915143393201,0.8445635998691832,5.071876962006945e-10
4.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,39.86661254483013,24.60405189697124,64.47066444180138,-63.720664441801375,13.28801877288888,13.28801877288888,0.0,13.290574999052364,41.39957600033118,7.850462293418876e-17,0.13132687520867678,0.11719133927686355,0.18429120202759533,0.5577420608584744,0.377539442353428,0.0,5.340752437769748,1.0192103426348427,5.069539255317499e-10
4.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,31.955607433585882,16.407685703069422,48.3632931366553,-47.6132931366553,9.523203276635101,9.523203276635101,0.0,12.909200880315677,34.316853130190175,1.6883057536160649e-16,0.14064731138590011,0.1318031213169677,0.20769951048469812,0.39972031288227133,0.3667059176845446,0.0,3.5615835872795825,0.6861428361938093,5.067049424578578e-10
4.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,13.765811025691036,8.296532941191064,22.0623439668821,-21.3123439668821,2.3483259679908217,2.3483259679908217,0.0,9.069159089709395,19.240897550592035,1.7772239894833365e-16,0.14653114373935713,0.1475351226406161,0.22986796754285868,0.09856700139729893,0.2576235614777796,0.0,1.800911846400296,0.34821600039663514,5.064412714884607e-10
4.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,25.09038793172038,16.492748569341657,41.583136501062036,-40.833136501062036,9.669990118026274,9.669990118026274,0.0,5.750407695667837,33.276650841120166,2.1240270466091291e-16,0.1493471217485576,0.16424188494892258,0.2514140235464033,0.4058814417024272,0.16334926930415666,0.0,3.5800480138833586,0.6907362892217622,5.061637118533645e-10
