label,box_id,sigma_min,sigma_max,t_min,t_max,points,lambdaConst,lambdaMin,lambdaMean,mainNormLowerConst,restUpperCombinedConst,restUpperSeparateConst,angularBudgetCombinedConst,angularBudgetSeparateConst,min_pointwise_angular_surplus_combined,max_pointwise_destructive_ratio,min_pointwise_destructive_ratio,max_abs_z0,max_D0_abs,pass_combined_const,pass_separate_const,recommended_mode
angular_valley47_sigma05_t47p5_48p5,s0.5_t0,0.5,0.5,47.5,47.504,5,0.5173860308116515,0.511971031569084,0.5146756151107887,0.5127773273032022,0.09501338036935014,0.09718624655840492,0.15246012087024122,0.15028725468118642,0.15250287059030498,0.5173860308116515,0.511971031569084,0.5285639514988578,0.2710356103584037,True,True,combined
angular_valley47_sigma05_t47p5_48p5,s0.5_t1,0.5,0.5,47.505,47.509,5,0.5242245204933579,0.5187472657721229,0.5214825813084094,0.5081645143414388,0.09495955756854935,0.09700209884082042,0.14681265791050863,0.14477011663823755,0.14685849871800227,0.5242245204933579,0.5187472657721229,0.5333952299900921,0.27105252799995533,True,True,combined
angular_valley47_sigma05_t47p5_48p5,s0.5_t10,0.5,0.5,47.55,47.554,5,0.5910660723038486,0.5846105951037679,0.5878303936885072,0.4588040666144725,0.09429982570391442,0.09535967452399939,0.09332072329970852,0.09226087447962354,0.09339462659843696,0.5910660723038486,0.5846105951037679,0.5911154363185933,0.2712061660215588,True,True,combined
angular_valley47_sigma05_t47p5_48p5,s0.5_t100,0.5,0.5,48.0,48.004,5,1.1122924073677576,1.112058678373021,1.112147051219474,0.23472704548523202,0.08108758032275241,0.08113863278863491,-0.10744564533461025,-0.10749669780049274,-0.10744564533461025,1.1122924073677576,1.112058678373021,1.162393727475601,0.27286074798527854,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t101,0.5,0.5,48.005,48.009,5,1.112401266520409,1.1120711625118522,1.1122083059175638,0.2354808045673358,0.08100790148349629,0.08100966861444593,-0.10747624215810976,-0.1074780092890594,-0.10746931927989742,1.112401266520409,1.1120711625118522,1.1587552793730966,0.27288014279425105,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t102,0.5,0.5,48.01,48.014,5,1.1134367551405735,1.1125533099746705,1.1129675904016625,0.23607586504697745,0.08093082482279122,0.08095223109105404,-0.10771050492072427,-0.10773191118898709,-0.10769160511159533,1.1134367551405735,1.1125533099746705,1.155916653708872,0.27289955582409836,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t103,0.5,0.5,48.015,48.019,5,1.1151546314575482,1.1137260254132817,1.114413238135516,0.23651069030967034,0.0808563003415666,0.0808977005002757,-0.10809160171994701,-0.10813300187865611,-0.10806046023569178,1.1151546314575482,1.1137260254132817,1.153873595516174,0.2729189869505882,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t104,0.5,0.5,48.02,48.024,5,1.117547229808251,1.1155793690284495,1.1165364480969475,0.23678405435626657,0.08078427456642487,0.08084363984662749,-0.10861758421877032,-0.10867694949897294,-0.10857369183171979,1.117547229808251,1.1155793690284495,1.1526235416424793,0.27293843604995516,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t105,0.5,0.5,48.025,48.029,5,1.1206096926325742,1.1181062395978285,1.1193312422254906,0.2368664641207788,0.08071469066819895,0.08079004933417092,-0.10928308210077073,-0.1093584407667427,-0.10922913287763053,1.1206096926325742,1.1181062395978285,1.1523704041941816,0.27295790299890854,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t106,0.5,0.5,48.03,48.034,5,1.124339941385897,1.1213023373550635,1.1227944322739027,0.23668375242092077,0.08064748858543834,0.08073692916778276,-0.11007673248844979,-0.11016617307079421,-0.11002464338299553,1.124339941385897,1.1213023373550635,1.153342318103758,0.2729773876746408,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t107,0.5,0.5,48.035,48.039,5,1.128738658307023,1.1251661370114157,1.1269255971754155,0.23633761084228247,0.08058260515248603,0.08068427952669435,-0.11100839207980878,-0.11111006645401711,-0.11095811041331195,1.128738658307023,1.1251661370114157,1.155114029383209,0.2729968899548297,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t108,0.5,0.5,48.04,48.044,5,1.1338092795897576,1.129698871772177,1.1317270716243368,0.23582820292946602,0.08051997423186,0.08063210056065614,-0.11207597617279902,-0.11218810250159517,-0.11202744698703405,1.1338092795897576,1.129698871772177,1.1576919398368184,0.27301640971764435,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t109,0.5,0.5,48.045,48.049,5,1.139558000163388,1.1349045288247324,1.1372039462098107,0.23515596968620572,0.08045952685056118,0.08058039238883541,-0.11327742370645036,-0.11339828924472459,-0.11323058987538073,1.139558000163388,1.1349045288247324,1.1610844802541012,0.2730359468417573,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t11,0.5,0.5,47.555,47.559,5,0.5993211803238426,0.5927001257166759,0.5960020288566199,0.45254532646578954,0.09420706249679367,0.09517893601768088,0.08711826476148019,0.08614639124059298,0.0871952336249817,0.5993211803238426,0.5927001257166759,0.5993286687201164,0.2712233880462521,True,True,combined
angular_valley47_sigma05_t47p5_48p5,s0.5_t110,0.5,0.5,48.05,48.054,5,1.1459937899562775,1.1407898564351442,1.1433640791089839,0.23432162840686113,0.08040119134002394,0.08052915509932951,-0.11461069393986814,-0.11473865769917371,-0.11456549628396048,1.1459937899562775,1.1407898564351442,1.1653021663549548,0.273055501206336,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t111,0.5,0.5,48.055,48.059,5,1.153128421186854,1.147364382466068,1.1502181190181031,0.23332617281132143,0.0803448934793151,0.0804783887488498,-0.11607376194348382,-0.1162072572130185,-0.11603013934642759,1.153128421186854,1.147364382466068,1.1703576559835018,0.2730750726910595,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t112,0.5,0.5,48.06,48.064,5,1.160976505847857,1.1546404437850377,1.1577795386421719,0.23217087450917476,0.08029055664130816,0.08042809336249616,-0.11766461277943639,-0.1178021495006244,-0.11762250230694041,1.160976505847857,1.1546404437850377,1.1762658074724015,0.27309466117610803,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t113,0.5,0.5,48.065,48.069,5,1.1695555421145858,1.1626332256509577,1.166064677655028,0.23085728583682982,0.08023810194141939,0.08037826893353253,-0.11938123419258496,-0.1195214011846981,-0.11934057121303357,1.1695555421145858,1.1626332256509577,1.1830437386984587,0.27311426654218185,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t114,0.5,0.5,48.07,48.074,5,1.1788859678682782,1.1713608097098869,1.1750927935462292,0.22938724413082365,0.08018744838863182,0.08032891542320722,-0.12122160757161121,-0.12136307460618662,-0.12118232587827574,1.1788859678682782,1.1713608097098869,1.1907108858883355,0.2731338886704969,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t115,0.5,0.5,48.075,48.079,5,1.188991218848453,1.1808442286670158,1.1848861181519994,0.22776287752116806,0.08013851303842821,0.08028003276056431,-0.12318369686958469,-0.12332521659172078,-0.12314572880413284,1.188991218848453,1.1808442286670158,1.1992890606915836,0.2731535274427738,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t116,0.5,0.5,48.08,48.084,5,1.1998977880853592,1.1911075249948988,1.1954699168837755,0.22598661235035541,0.08009121114732534,0.08023162084227618,-0.1252654350930649,-0.12540584478801575,-0.12522871167011365,1.1998977880853592,1.1911075249948988,1.2088025033879195,0.27317318274126495,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t117,0.5,0.5,48.085,48.089,5,1.2116352821529375,1.2021778101272396,1.20687254666155,0.2240611823477713,0.08004545632866658,0.0801836795324749,-0.12746470787435793,-0.12760293107816625,-0.1274291589067925,1.2116352821529375,1.2021778101272396,1.219277929296554,0.27319285444872826,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t118,0.5,0.5,48.09,48.094,5,1.2242364683634317,1.2140853194228327,1.219125507268652,0.22198963971391875,0.08000116070934939,0.0801362086625839,-0.12977933353206914,-0.12991438148530365,-0.12974488775690765,1.2242364683634317,1.2140853194228327,1.2307445644785264,0.273212542448452,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t119,0.5,0.5,48.095,48.099,5,1.2377373051874534,1.2268634566884953,1.2322634791838638,0.21977536829802438,0.07995823508719514,0.0800892080311705,-0.13220703889294755,-0.1323380118369229,-0.13217362409746558,1.2377373051874534,1.2268634566884953,1.243234165594594,0.27323224662423895,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t12,0.5,0.5,47.56,47.564,5,0.6077991378174427,0.6009983610996998,0.6043893943726942,0.4461526497963872,0.09411047039352682,0.09499856738707929,0.08087098352164879,0.07998288652809632,0.08095099228459143,0.6077991378174427,0.6009983610996998,0.6079547885550792,0.27124063987025093,True,True,combined
angular_valley47_sigma05_t47p5_48p5,s0.5_t120,0.5,0.5,48.1,48.104,5,1.2521769458480212,1.2405488201247852,1.2463243388195457,0.21742209908106125,0.07991658908862213,0.08004267740378976,-0.13474542999475,-0.13487151830991764,-0.13471297314265782,1.2521769458480212,1.2405488201247852,1.2567810172715295,0.2732519668604074,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t121,0.5,0.5,48.105,48.109,5,1.2675977020359313,1.2551811990962551,1.2613491393713212,0.214933928209913,0.07987613132635403,0.07999661651284226,-0.13739195660488257,-0.1375124417913708,-0.13736038396230116,1.2675977020359313,1.2551811990962551,1.2714218984306311,0.27327170304180054,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t122,0.5,0.5,48.11,48.114,5,1.2840449508889482,1.2708035279877468,1.2773820420169515,0.21231533786228537,0.0798367695568395,0.07995102505742523,-0.1401438692729028,-0.14025812477348854,-0.14011310653393205,1.2840449508889482,1.2708035279877468,1.2871960066824593,0.2732914550537709,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t123,0.5,0.5,48.115,48.119,5,1.3015669635528453,1.287461779408249,1.294470177801684,0.20957122025885475,0.07979841083714553,0.07990590270320448,-0.14299816737867288,-0.14310565924473184,-0.14296813979032064,1.3015669635528453,1.287461779408249,1.3041448269690759,0.2733112227821822,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t124,0.5,0.5,48.12,48.124,5,1.320214627566662,1.305204773957584,1.3126634149940177,0.20670690517706183,0.07976096168102402,0.07986124908228022,-0.1459515363377542,-0.14605182373901038,-0.14592216882402853,1.320214627566662,1.305204773957584,1.3223119270219048,0.2733310061134148,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t125,0.5,0.5,48.125,48.129,5,1.3400410277126387,1.3240838774061505,1.3320139997264122,0.2037281913589445,0.07972432821389819,0.07981706379305631,-0.14900027177763078,-0.1490930073567889,-0.148971489062605,1.3400410277126387,1.3240838774061505,1.3417426577588945,0.2733508049343628,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t126,0.5,0.5,48.13,48.134,5,1.3611008405349148,1.344152548200849,1.3525760290602098,0.20064138224131975,0.07968841632655163,0.07977334640012886,-0.1521401880999793,-0.15222511817355655,-0.1521119148296139,1.3611008405349148,1.344152548200849,1.3624837313152711,0.27337061913240684,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t127,0.5,0.5,48.135,48.139,5,1.3834494861230522,1.3654656883621015,1.3744047049003292,0.19745332646889138,0.07965313182723975,0.07973009643416017,-0.15536650839502342,-0.15544347300194383,-0.15533866925761164,1.3834494861230522,1.3654656883621015,1.3845826428177082,0.27339044859544537,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t128,0.5,0.5,48.14,48.144,5,1.4071419666698124,1.3880787387594316,1.3975553041141069,0.1941714636726533,0.07961838059205087,0.079687313391776,-0.158673732182891,-0.1587426649826161,-0.1586462520279145,1.4071419666698124,1.3880787387594316,1.4080868941318734,0.2734102932118663,False,False,fail_lambda_ge_one
angular_valley47_sigma05_t47p5_48p5,s0.5_t129,0.5,0.5,48.145,48.149,5,1.4322313044721882,1.4120464451334949,1.4220817844873495,0.19080387600425947,0.07958406871327045,0.07964499673545604,-0.16205547693694117,-0.16211640495912674,-0.16202828089221094,1.4322313044721882,1.4120464451334949,1.4330429685005226,0.27343015287054956,False,False,fail_lambda_ge_one
