label,source_box_id,sigma_min,sigma_max,t_min,t_max,mainNormLowerConst,numeratorUpperConst,parallelUpperConst,restUpperCombinedConst,restUpperSeparateConst,budgetCombinedConst,budgetSeparateConst,certified_combined,certified_separate,status,interval_dps,inflate,point_budget_combined_from_scout,point_budget_separate_from_scout,budget_loss_to_interval_combined,budget_loss_to_interval_separate,notes
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t0,0.5,0.5,47.5,47.504,0.4869721076309075,0.14858191369564847,0.30511380706893315,0.10659894475351932,0.10912630469548958,0.07525935580845501,0.07273199586648475,True,True,certified_combined_and_separate,50,1e-12,0.15158724285538555,0.14941437666633078,0.07632788704693054,0.07668238079984603,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t1,0.5,0.5,47.505,47.509,0.48155565801431927,0.14778273012530807,0.3068860840192094,0.10683046240213681,0.10906742218048658,0.06783911159297304,0.06560215181462327,True,True,certified_combined_and_separate,50,1e-12,0.1457375559439723,0.14369501467170123,0.07789844435099927,0.07809286285707796,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t10,0.5,0.5,47.55,47.554,0.42628572934906256,0.13944026410917532,0.3271051656411307,0.10720679575443794,0.1076277960049866,-0.008026232046506057,-0.008447232297054727,False,False,fail_interval_inflation,50,1e-12,0.09051501258741813,0.08945516376733316,0.09854124463392419,0.09790239606438789,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t11,0.5,0.5,47.555,47.559,0.41954554928322757,0.13799643015783178,0.3289188275113196,0.10706397897651958,0.10736346767221533,-0.01643725720461163,-0.01673674590030738,False,False,fail_interval_inflation,50,1e-12,0.08413328036120299,0.08316140684031578,0.10057053756581462,0.09989815274062316,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t12,0.5,0.5,47.56,47.564,0.41271388576616147,0.13643921244843116,0.3305903124513138,0.10688223441183883,0.10708077352346981,-0.02475866109699118,-0.02495720020862216,False,False,fail_interval_inflation,50,1e-12,0.07770996309479883,0.07682186610124636,0.10246862419179001,0.10177906630986852,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t13,0.5,0.5,47.565,47.569,0.4058013641938603,0.13477289333591,0.3321154269740848,0.10666071429199717,0.10685834127466468,-0.032974777072221656,-0.033172404054889165,False,False,fail_interval_inflation,50,1e-12,0.07124697447056909,0.07043848259274266,0.10422175154279074,0.10361088664763182,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t14,0.5,0.5,47.57,47.574,0.3988126844689548,0.13300211092534486,0.3334951873520419,0.10639920633189,0.10663200196950236,-0.04108170921497713,-0.04131450485258949,False,False,fail_interval_inflation,50,1e-12,0.06474616636378508,0.06401314044960128,0.1058278755787622,0.10532764530219077,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t15,0.5,0.5,47.575,47.579,0.39175461708250975,0.1311331021743092,0.3347327547812678,0.10609978608741721,0.1063866862305071,-0.04907792378617526,-0.04936482392926514,False,False,fail_interval_inflation,50,1e-12,0.05820932613943898,0.05754766409511866,0.10728724992561424,0.1069124880243838,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t16,0.5,0.5,47.58,47.584,0.3846366508196405,0.12917167921287473,0.33582779731888956,0.10576416853477226,0.10612426804892132,-0.056955315034021334,-0.05731541454817039,False,False,fail_interval_inflation,50,1e-12,0.05163817454377928,0.051043816028973496,0.10859348957780061,0.10835923057714389,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t17,0.5,0.5,47.585,47.589,0.37747072512112395,0.127122375403837,0.3367741309290822,0.10539230265612533,0.10584460479768357,-0.06469570846408358,-0.06514801060564182,False,False,fail_interval_inflation,50,1e-12,0.045034364333802285,0.04450329534998526,0.10973007279788587,0.10965130595562708,mode=fast; subdiv_sigma=1; subdiv_t=64
interval_valley47_sigma05_t47p5_48p5_w005_pass_fast_sub64,s0.5_t18,0.5,0.5,47.59,47.594,0.3702624337964668,0.1249932955418565,0.33758027856146294,0.10499005379273209,0.1055533850933715,-0.07230789855772825,-0.07287122985836766,False,False,fail_interval_inflation,50,1e-12,0.038399479822450594,0.03792773719157118,0.11070737838017884,0.11079896704993884,mode=fast; subdiv_sigma=1; subdiv_t=64
