label,box_id,sigma_min,sigma_max,t_min,t_max,points,mainNormLowerConst,numeratorUpperConst,parallelUpperConst,restUpperCombinedConst,restUpperSeparateConst,budgetCombinedConst,budgetSeparateConst,min_pointwise_surplus_combined,min_pointwise_surplus_separate,max_D0_abs,max_parallel_exact,max_angle_D0_vs_M,pass_combined_const,pass_separate_const,recommended_mode
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t0,0.5,0.5,24.5,24.509,10,0.3501324937050113,0.18148608313913897,0.5183354484432457,0.15212195752126267,0.15221584963431195,-0.3203249122594971,-0.3204188043725464,-0.29843933411984425,-0.29849731567325105,0.503288664494151,0.49685838044633146,170.88431797771963,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t1,0.5,0.5,24.51,24.519,10,0.36693104395287185,0.1898364246612572,0.5173626701523776,0.15235459668834517,0.15249729507173831,-0.3027862228878509,-0.30292892127124404,-0.28210880951452844,-0.2822071720753644,0.5032054304866568,0.49732591144632526,171.28794322533358,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t10,0.5,0.5,24.6,24.609,10,0.4913295454091556,0.2513458631885166,0.5115626884990355,0.15435808324099126,0.15522370761016135,-0.1745912263308712,-0.1754568507000413,-0.16520989723672583,-0.1659901116991731,0.5024823534490248,0.5024230682885391,179.9590996014796,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t100,0.5,0.5,25.5,25.5,1,0.35415918683916997,0.16163703786495692,0.456396569315479,0.1956451855797053,0.2013086003129713,-0.2978825680560143,-0.30354598278928036,-0.2978825680560143,-0.30354598278928036,0.49750283797684525,0.456396569315479,156.54526449125993,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t11,0.5,0.5,24.61,24.619,10,0.5012280551781085,0.25582297076303595,0.5103923615611076,0.1545866249807404,0.15554768388185886,-0.16375093136373944,-0.1647119902648579,-0.15555705831670602,-0.1564322143616584,0.5024048633599698,0.5024043500257145,179.91809491357873,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t12,0.5,0.5,24.62,24.629,10,0.5102390986325256,0.25972185339677095,0.5090198969323257,0.15481957898493598,0.1558757688654215,-0.15360037728473613,-0.15465656716522166,-0.14656479229925812,-0.14753539261612697,0.502327935589832,0.5021941832757313,178.6777783803753,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t13,0.5,0.5,24.63,24.639,10,0.5183523557315479,0.2630316401858787,0.5074379180059162,0.1550577945072,0.15620793278502365,-0.14414335678156828,-0.14529349505939193,-0.13823340983757643,-0.13929906209906467,0.5022515679507796,0.5017426156268312,177.42040093190303,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t14,0.5,0.5,24.64,24.649,10,0.5255623881764967,0.2657476662935406,0.5056443769037293,0.15530209742217452,0.15654414503778136,-0.13538408614940714,-0.13662613376501398,-0.13056374798228174,-0.13172318286134854,0.5021757582566487,0.5010441986905186,176.1529303217525,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t15,0.5,0.5,24.65,24.659,10,0.531868448431795,0.26787137800640376,0.5036421671490721,0.15555328530316692,0.15688437421108675,-0.12732700402044395,-0.12865809292836378,-0.12355694935401124,-0.12480804357495578,0.5021005043228862,0.5000985042878348,174.88178234215533,False,False,fail_parallel
phase_valley_sigma05_t24p5_25p5_w010,s0.5_t16,0.5,0.5,24.66,24.669,10,0.5372743358874653,0.2694101790814565,0.5014387643073384,0.15581212263670746,0.1572285881000999,-0.1199765510565805,-0.12139301651997295,-0.1172142298974837,-0.11855403421456168,0.5020258039664504,0.4989097532760983,173.6129287595014,False,False,fail_parallel
