label,box_id,sigma,t,main_abs,D0_abs,Drest_abs,RvecTail_abs,rest_combined,rest_separate,z0_re,z0_im,destructive_ratio,angle_D0_over_M,bounded_surplus_combined,angular_surplus_combined,angular_surplus_separate,failure_class
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.5,0.8060023894440868,1.3315787220271498,0.422247848426834,0.006469427218120041,0.42573185285931014,0.42871727564495404,-1.6220184164353673,-0.31371578131431616,1.6220184164353673,-169.05353940836252,-0.9270801827844434,-0.9270801827844432,-0.9300656055700871,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.501,0.8043984878970681,1.3314734508274242,0.4220919328847852,0.0064688855848889565,0.4255389055634511,0.42856081846967414,-1.6238493983374445,-0.32083684898293974,1.6238493983374445,-168.82356480834792,-0.927362418261587,-0.9273624182615872,-0.9303843311678102,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.502,0.8028390799403444,1.3313681839188976,0.42193613696077514,0.0064683413344151204,0.4253459265583563,0.42840447829519024,-1.6255617031248628,-0.3280110217826279,1.6255617031248628,-168.5918617677373,-0.9275713087410358,-0.927571308741036,-0.93062986047787,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.503,0.8013244785890131,1.3312629213008909,0.4217804607441436,0.006467794470429077,0.4251529176710966,0.42824825521457266,-1.627153414747454,-0.3352357661986512,1.627153414747454,-168.35847537189227,-0.9277063007389195,-0.9277063007389192,-0.9308016382823954,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.504,0.7998549879684622,1.3311576629727226,0.42162490432401756,0.006467244996713618,0.4249598807351525,0.4280921493207312,-1.62862268373601,-0.34250846997696266,1.62862268373601,-168.12345190200253,-0.9277668698715213,-0.9277668698715213,-0.9308991384570999,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.505,0.798430903057431,1.3310524089337257,0.42146946778931405,0.006466692917104036,0.4247668175903403,0.4279361607064181,-1.6299677309052065,-0.3498264440946601,1.6299677309052065,-167.88683881602333,-0.9277525218740252,-0.927752521874025,-0.9309218649901028,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.506,0.7970525094351116,1.330947159183221,0.4213141512287347,0.006466138235488181,0.4245737300827292,0.4277802894642229,-1.631186850998975,-0.35718692492724013,1.631186850998975,-167.64868472770286,-0.9276627935939084,-0.9276627935939081,-0.930869352975402,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.507,0.7957200830327752,1.3308419137205327,0.42115895473076714,0.0064655809558058245,0.4243806200645608,0.427624535686573,-1.6322784162666524,-0.3645870766119493,1.6322784162666524,-167.4090393836894,-0.9274972539560927,-0.9274972539560931,-0.9307411695781053,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.508,0.7944338898904008,1.330736672544995,0.4210038783836883,0.006465021082048182,0.42418748939417505,0.42746889946573646,-1.6332408799581903,-0.37202399360496097,1.6332408799581903,-167.1679536387388,-0.9272555048969805,-0.9272555048969805,-0.9305369149685419,lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,11.509,0.7931941859187713,1.3306314356559277,0.420848922275556,0.006464458618258002,0.4239943399359234,0.427313380893814,-1.6340727797265595,-0.3794947034302219,1.6340727797265595,-166.92547942901976,-0.9269371822643843,-0.9269371822643842,-0.9302562232222747,lambda_ge_one
