nmax,sigma,bg_kmax,x_mode,x_cut,x_factor,x_fixed,tmin,tmax,dt,threshold,centers_count,local_minima_count,filtered_minima_count,idx,t_min,abs_c_min,filtered
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,648,10.64799999999964,0.3908711012183474,False
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,1277,11.276999999999292,0.413082451703772,False
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,4136,14.135999999997708,0.0008548657722603266,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,8142,18.141999999995488,0.2627814397983201,False
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,11022,21.02199999999389,0.00034290102987042834,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,15012,25.01199999999168,0.00014476484490161994,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,17127,27.12699999999051,0.3015012747416449,False
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,20424,30.42399999998868,0.0001232498939266102,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,22934,32.93399999998729,0.00021401628327847954,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,27586,37.58599999998471,0.00014506370921291056,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,30919,40.918999999982866,0.00013632840332524542,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,33327,43.32699999998153,0.000181635387582106,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,35260,45.25999999998046,0.40058968411611795,False
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,38005,48.004999999978935,0.0001309691282525325,True
800000,0.5,7,nmax/x_factor,266666.6666666667,3.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,196875,15,10,39774,49.77399999997796,0.0001760939646595227,True
