nmax,sigma,bg_kmax,x_mode,x_cut,x_factor,x_fixed,tmin,tmax,dt,threshold,centers_count,local_minima_count,filtered_minima_count,idx,t_min,abs_c_min,filtered
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,1343,11.342999999999256,0.40886176474437946,False
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,4136,14.135999999997708,0.00010263011940902321,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,8146,18.145999999995485,0.25899282613267854,False
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,11022,21.02199999999389,1.2632108968525308e-05,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,15011,25.010999999991682,5.5119462555266874e-05,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,17127,27.12699999999051,0.2976639319334106,False
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,20425,30.424999999988678,5.053255440338402e-05,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,22935,32.93499999998729,2.668953401728857e-05,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,27586,37.58599999998471,8.436609901717556e-05,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,30919,40.918999999982866,0.0001302233361311019,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,33327,43.32699999998153,3.6933183938646934e-05,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,35264,45.263999999980456,0.3952729254003334,False
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,38005,48.004999999978935,7.000246605132809e-05,True
200000,0.5,5,nmax/x_factor,50000.0,4.0,,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,39774,49.77399999997796,7.350762410540567e-05,True
